1996 US Presidential Election,Dole,Clinton,Perot,
Alcona,2227,2619,669,
Alger,1429,2229,537,
Allegan,20859,14361,3269,
Alpena,4525,7114,1730,
Antrim,4630,4226,1129,
Arenac,2247,3472,844,
Baraga,1209,1601,460,
Barry,11139,9467,2282,
Bay,16038,27835,5410,
Benzie,2856,3081,763,
Berrien,28254,24614,5958,
Branch,6321,6567,1779,
Calhoun,20953,26287,4765,
Cass,7373,8207,2241,
Charlevoix,4864,4689,1303,
Cheboygan,4244,5018,1462,
Chippewa,5137,6532,1453,
Clare,3742,6311,1531,
Clinton,13694,11945,2698,
Crawford,2157,2666,840,
Delta,5925,8561,1543,
Dickinson,4408,5614,1478,
Eaton,20092,19781,4378,
Emmet,6002,4892,1512,
Genesee,49332,106065,17671,
Gladwin,3670,5494,1466,
Gogebic,2769,4436,917,
Grand Traverse,16355,12987,3527,
Gratiot,6214,6793,1762,
Hillsdale,7947,5955,2262,
Houghton,5941,5957,1584,
Huron,6126,6827,1811,
Ingham,43096,63584,8640,
Ionia,9574,9261,2354,
Iosco,4410,6240,1710,
Iron,2014,3232,755,
Isabella,7460,9635,2069,
Jackson,24987,24633,5968,
Kalamazoo,40703,45644,5867,
Kalkaska,2455,2666,922,
Kent,121335,85912,14120,
Keweenaw,491,572,169,
Lake,1213,2606,552,
Lapeer,13369,14308,4793,
Leelanau,5155,4019,924,
Lenawee,14168,16924,4167,
Livingston,30598,22517,6337,
Luce,964,1107,366,
Mackinac,2281,2700,742,
Macomb,120616,151430,29859,
Manistee,3807,5383,1230,
Marquette,8805,15168,2492,
Mason,5066,5597,1525,
Mecosta,5289,6370,1373,
Menominee,4038,4880,1205,
Midland,16547,15177,3964,
Missaukee,3012,2256,719,
Monroe,19678,26072,6315,
Montcalm,8679,10053,2530,
Montmorency,1760,2120,682,
Muskegon,21873,35328,5794,
Newaygo,7868,7614,2047,
Oakland,219855,241884,36709,
Oceana,3947,4419,1286,
Ogemaw,2904,4725,1369,
Ontonagon,1523,2080,604,
Osceola,3855,4085,1068,
Oscoda,1545,1652,503,
Otsego,3638,3351,1280,
Ottawa,61436,27024,6275,
Presque Isle,2463,3449,932,
Roscommon,4135,6092,1539,
Saginaw,31577,47579,8081,
St. Clair,22495,28881,8134,
St. Joseph,9764,8529,2319,
Sanilac,7821,7092,2265,
Schoolcraft,1200,2187,460,
Shiawassee,11714,14662,3703,
Tuscola,9154,10314,3013,
Van Buren,11347,13355,2946,
Washtenaw,40097,73106,8020,
Wayne,175886,504466,43554,
Wexford,4866,5510,1386,
