1996 US Presidential Election,Dole,Clinton,Perot,
Aitkin,2327,3810,1155,
Anoka,41745,63756,16448,
Becker,5461,5911,1813,
Beltrami,5806,8006,1635,
Benton,4835,6006,2133,
Big Stone,990,1619,368,
Blue Earth,9082,12420,3324,
Brown,5580,4864,1786,
Carlton,4034,8052,1591,
Carver,12380,11554,3781,
Cass,4791,5437,1620,
Chippewa,2119,3178,782,
Chisago,5984,8611,2812,
Clay,8764,10476,1733,
Clearwater,1423,1578,471,
Cook,1010,1169,246,
Cottonwood,2633,2737,741,
Crow Wing,10095,11156,3423,
Dakota,57244,77297,17095,
Dodge,2888,3233,1223,
Douglas,6747,6450,2093,
Faribault,3272,3817,1103,
Fillmore,3466,4732,1575,
Freeborn,5166,8458,2226,
Goodhue,7293,9931,2806,
Grant,1284,1806,434,
Hennepin,173887,285126,47663,
Houston,3674,4153,1439,
Hubbard,3593,3802,1141,
Isanti,4450,6041,2242,
Itasca,6506,10706,2889,
Jackson,2153,2727,908,
Kanabec,1924,2927,996,
Kandiyohi,7119,9009,2229,
Kittson,1055,1394,270,
Koochiching,2080,3472,1098,
Lac Qui Parle,1447,2420,561,
Lake,1684,3388,752,
Lake of the Woods,814,888,287,
Le Sueur,3902,5457,1699,
Lincoln,1199,1641,504,
Lyon,4932,5062,1351,
McLeod,5474,6027,2402,
Mahnomen,877,1026,270,
Marshall,2068,2333,710,
Martin,4303,4718,1405,
Meeker,3428,4531,1571,
Mille Lacs,2948,4336,1467,
Morrison,5054,5728,2310,
Mower,4994,10413,2464,
Murray,1907,2173,753,
Nicollet,5057,6772,1737,
Nobles,3769,4106,1132,
Norman,1392,1875,425,
Olmsted,22860,22857,5640,
Otter Tail,11808,10519,3191,
Pennington,2129,2814,910,
Pine,3080,5432,1597,
Pipestone,2096,1999,599,
Polk,5563,6369,1502,
Pope,1992,2803,665,
Ramsey,66954,133878,20351,
Red Lake,695,1053,334,
Redwood,3700,2997,1053,
Renville,2887,3956,1311,
Rice,7016,12821,2872,
Rock,2169,2142,554,
Roseau,2988,2759,1081,
St. Louis,25553,60736,11308,
Scott,12734,14657,4886,
Sherburne,8699,10551,3665,
Sibley,2590,2769,1226,
Stearns,21474,24238,8150,
Steele,5617,6974,2197,
Stevens,2141,2741,467,
Swift,1541,3054,690,
Todd,4078,4520,1958,
Traverse,775,1135,295,
Wabasha,3452,4523,1474,
Wadena,2696,2480,801,
Waseca,3171,3819,1385,
Washington,31219,45119,10106,
Watonwan,1997,2534,711,
Wilkin,1508,1319,358,
Winona,7955,10272,2907,
Wright,13224,15542,5550,
Yellow Medicine,2006,2741,818,
