1976 US Presidential Election,Ford,Carter,Other,
Adams,6280,4908,118,
Allen,71321,44744,1704,
Bartholomew,14771,11203,213,
Benton,3093,2071,70,
Blackford,2886,3174,60,
Boone,9214,5686,86,
Brown,2466,2381,57,
Carroll,4797,3606,90,
Cass,10342,7610,279,
Clark,12732,16670,329,
Clay,5674,5433,158,
Clinton,8199,6662,102,
Crawford,2181,2721,46,
Daviess,6829,4952,57,
Dearborn,6176,6348,71,
Decatur,5555,4365,65,
DeKalb,7860,6151,235,
Delaware,26417,25151,519,
Dubois,6383,7385,116,
Elkhart,27291,17581,557,
Fayette,5704,5519,65,
Floyd,11259,12744,252,
Fountain,4903,4089,60,
Franklin,3557,3234,54,
Fulton,5083,3488,132,
Gibson,7105,8430,64,
Grant,16847,13468,239,
Greene,6442,7263,138,
Hamilton,21828,7857,273,
Hancock,10072,6191,164,
Harrison,4911,5685,103,
Hendricks,16725,9066,313,
Henry,11620,10137,91,
Howard,19571,14815,267,
Huntington,9182,6515,193,
Jackson,7615,7610,133,
Jasper,5398,3286,200,
Jay,4606,4124,87,
Jefferson,5573,6139,161,
Jennings,4505,4430,77,
Johnson,16414,10075,260,
Knox,9100,9612,148,
Kosciusko,14505,7328,291,
LaGrange,3876,2835,61,
Lake,90119,120700,1922,
LaPorte,21989,18217,449,
Lawrence,9278,7908,254,
Madison,32437,29811,572,
Marion,177767,145274,2535,
Marshall,9707,6424,277,
Martin,2702,2827,36,
Miami,8263,6257,635,
Monroe,18938,16609,148,
Montgomery,9509,5320,263,
Morgan,10983,7181,145,
Newton,3204,2236,43,
Noble,6885,5875,253,
Ohio,1027,1300,10,
Orange,4399,4031,46,
Owen,2896,3103,56,
Parke,3929,3158,57,
Perry,4088,5620,38,
Pike,3138,3938,25,
Porter,25489,16468,701,
Posey,5136,5298,54,
Pulaski,3586,2813,216,
Putnam,6063,5116,118,
Randolph,6891,5330,99,
Ripley,5293,4792,72,
Rush,4723,3052,55,
St. Joseph,50358,49156,810,
Scott,2657,4229,80,
Shelby,8918,7098,134,
Spencer,4166,4796,28,
Starke,4354,4753,134,
Steuben,5079,3323,173,
Sullivan,3747,5198,61,
Switzerland,1329,2150,12,
Tippecanoe,29186,17850,551,
Tipton,4776,3428,124,
Union,1631,1160,9,
Vanderburgh,37975,34911,325,
Vermillion,3674,4791,73,
Vigo,23555,24684,371,
Wabash,8534,5704,102,
Warren,2377,1906,29,
Warrick,7200,7804,92,
Washington,3794,4409,115,
Wayne,16697,12306,188,
Wells,5596,4250,88,
White,6287,3963,119,
Whitley,6761,5445,235,
