2000 US Presidential Election,Bush,Gore,Nader,
Adams,6380,3581,162,
Allen,28647,13996,760,
Ashland,13533,6685,563,
Ashtabula,17940,19831,1109,
Athens,9703,13158,1663,
Auglaize,13770,5564,372,
Belmont,12625,15980,723,
Brown,10027,5972,269,
Butler,86587,46390,2708,
Carroll,6732,4960,271,
Champaign,9220,5955,346,
Clark,27660,27984,1347,
Clermont,47129,20927,1303,
Clinton,9824,4791,325,
Columbiana,21804,20657,1217,
Coshocton,8243,5594,295,
Crawford,11666,6721,536,
Cuyahoga,192099,359913,16956,
Darke,14817,7741,452,
Defiance,9540,6175,365,
Delaware,36639,17134,1212,
Erie,16105,17732,872,
Fairfield,33523,19065,1115,
Fayette,5685,3363,165,
Franklin,197862,202018,10702,
Fulton,11546,6805,376,
Gallia,7511,4872,215,
Geauga,25417,15327,1405,
Greene,37946,25059,1592,
Guernsey,8181,6643,405,
Hamilton,204175,161578,9222,
Hancock,20985,8798,592,
Hardin,7124,4557,243,
Harrison,3417,3351,192,
Henry,8530,4367,258,
Highland,9728,5328,245,
Hocking,5702,4474,291,
Holmes,6754,2066,172,
Huron,12286,8183,560,
Jackson,6958,5131,222,
Jefferson,15038,17488,897,
Knox,13393,7133,452,
Lake,51747,46497,3166,
Lawrence,12531,11307,402,
Licking,37180,23196,1498,
Logan,11849,5945,449,
Lorain,47957,59809,3183,
Lucas,73342,108344,4227,
Madison,8892,5287,299,
Mahoning,40460,69212,3322,
Marion,13617,10370,588,
Medina,37349,26635,1960,
Meigs,5750,3674,226,
Mercer,12485,5212,392,
Miami,26037,15584,879,
Monroe,3145,3605,149,
Montgomery,109792,114597,4690,
Morgan,3451,2261,177,
Morrow,7842,4529,305,
Muskingum,17995,13415,882,
Noble,3435,2296,154,
Ottawa,9917,9485,432,
Paulding,5210,3384,242,
Perry,6440,5895,334,
Pickaway,10717,6598,276,
Pike,5333,4923,176,
Portage,28271,31446,2340,
Preble,11176,6375,404,
Putnam,12837,4063,254,
Richland,30138,20572,1306,
Ross,13706,11662,421,
Sandusky,13699,11146,587,
Scioto,15022,13997,590,
Seneca,13863,9512,666,
Shelby,12476,6593,392,
Stark,78153,75308,4032,
Summit,96721,119759,5955,
Trumbull,34654,57643,2749,
Tuscarawas,19549,15879,1061,
Union,11502,5040,336,
Van Wert,8679,4209,216,
Vinton,2720,2037,110,
Warren,48318,19142,1067,
Washington,15342,10383,571,
Wayne,25901,14779,1171,
Williams,9941,5454,347,
Wood,27504,22687,1536,
Wyandot,6113,3397,191,
