1960 US Presidential Election,Nixon,Kennedy,Unpledged,
Alameda,183354,217172,0,
Alpine,132,40,0,
Amador,2175,2690,0,
Butte,20838,15163,0,
Calaveras,2820,2509,0,
Colusa,2497,2348,0,
Contra Costa,82922,93622,0,
Del Norte,3024,3225,0,
El Dorado,6065,6175,0,
Fresno,57930,72164,0,
Glenn,3911,3410,0,
Humboldt,18074,20391,0,
Imperial,10606,9119,0,
Inyo,2962,2443,0,
Kern,52800,51440,0,
Kings,6991,9439,0,
Lake,4176,2897,0,
Lassen,2365,3472,0,
Los Angeles,1302661,1323818,0,
Madera,5869,8126,0,
Marin,37620,27888,0,
Mariposa,1599,1338,0,
Mendocino,9301,9476,0,
Merced,11990,15545,0,
Modoc,1839,1691,0,
Mono,912,457,0,
Monterey,33428,25805,0,
Napa,15125,13499,0,
Nevada,5419,4633,0,
Orange,174891,112007,0,
Placer,10439,13304,0,
Plumas,2015,3333,0,
Riverside,65855,50877,0,
Sacramento,84252,109695,0,
San Benito,3056,2876,0,
San Bernardino,99481,90888,0,
San Diego,223056,171259,0,
San Francisco,143001,197734,0,
San Joaquin,48441,42855,0,
San Luis Obispo,17862,14975,0,
San Mateo,104570,97154,0,
Santa Barbara,38805,29409,0,
Santa Clara,131735,117667,0,
Santa Cruz,24858,16659,0,
Shasta,9462,14691,0,
Sierra,576,647,0,
Siskiyou,6279,8245,0,
Solano,18751,26977,0,
Sonoma,34641,29147,0,
Stanislaus,30213,30302,0,
Sutter,7520,4379,0,
Tehama,5522,5483,0,
Trinity,1418,2262,0,
Tulare,29456,24887,0,
Tuolumne,3691,3781,0,
Ventura,35074,35334,0,
Yolo,10104,12395,0,
Yuba,5293,4882,0,
