1984 US Presidential Election,Reagan,Mondale,Other,
District 1,5256,2937,213,
District 2,2645,1857,162,
District 3,2540,1561,135,
District 4,7322,5293,324,
District 5,8188,2896,543,
District 6,2883,1261,154,
District 7,4363,1539,252,
District 8,8603,2752,305,
District 9,8361,3186,271,
District 10,7634,3034,287,
District 11,5176,2621,324,
District 12,5348,4063,343,
District 13,6106,2616,282,
District 14,7465,2843,267,
District 15,8993,2749,371,
District 16,9942,2935,671,
District 17,3793,1014,205,
District 18,4858,967,247,
District 19,3880,1905,356,
District 20,6538,2914,472,
District 21,3629,2433,285,
District 22,2075,1319,98,
District 23,2165,1546,105,
District 24,2321,1473,117,
District 25,2004,1825,135,
District 26,3019,1216,131,
District 27,3270,1252,166,
