1996 US Presidential Election,Dole,Clinton,Perot,
Adams,6960,4247,1346,
Allen,59255,41450,8808,
Bartholomew,13188,9301,2815,
Benton,1947,1311,609,
Blackford,2070,2335,681,
Boone,11338,4625,1498,
Brown,2988,2413,802,
Carroll,4062,2747,1171,
Cass,8020,5419,2029,
Clark,14396,17799,3578,
Clay,4858,3605,1406,
Clinton,6156,3949,1355,
Crawford,1759,2324,700,
Daviess,5531,3230,994,
Dearborn,8318,6269,1731,
Decatur,4782,3190,1389,
DeKalb,6851,4840,1534,
Delaware,18126,20385,6042,
Dubois,6840,6499,1777,
Elkhart,28770,16598,5133,
Fayette,4091,3822,1137,
Floyd,12473,13814,2609,
Fountain,3984,2327,1033,
Franklin,4167,2808,943,
Fulton,3934,2956,1143,
Gibson,5392,6488,1585,
Grant,13443,9818,3008,
Greene,5746,5277,1690,
Hamilton,42792,14153,4234,
Hancock,12907,6123,2258,
Harrison,6073,5900,1839,
Hendricks,22293,9392,3405,
Henry,8537,7667,2381,
Howard,16771,11999,4172,
Huntington,8275,4287,1400,
Jackson,5883,5150,1590,
Jasper,5173,3554,1271,
Jay,3584,3356,1022,
Jefferson,4827,5441,1438,
Jennings,4461,4223,1629,
Johnson,23733,11278,3975,
Knox,6395,7003,2022,
Kosciusko,15084,6166,2531,
LaGrange,4033,2704,949,
Lake,47873,100198,15051,
LaPorte,14106,19879,5133,
Lawrence,8107,5703,2063,
Madison,23151,23772,6447,
Marion,133329,124448,21358,
Marshall,8158,5486,1698,
Martin,2281,1848,485,
Miami,6719,4260,1657,
Monroe,16744,18531,3179,
Montgomery,7705,3825,1766,
Morgan,12872,5812,2755,
Newton,2075,1897,801,
Noble,6782,5101,1521,
Ohio,1098,1083,281,
Orange,3355,3016,938,
Owen,3056,2244,874,
Parke,3151,2453,981,
Perry,2554,4427,913,
Pike,2174,2780,884,
Porter,22931,24044,7169,
Posey,4638,4965,1304,
Pulaski,2693,2010,634,
Putnam,5958,3962,1619,
Randolph,4708,4087,1557,
Ripley,5303,4097,1216,
Rush,3827,2578,973,
St. Joseph,38281,45704,8379,
Scott,2620,3798,760,
Shelby,7778,5374,1874,
Spencer,3770,4058,739,
Starke,3108,3854,1096,
Steuben,5513,4124,1390,
Sullivan,3207,4076,1178,
Switzerland,1266,1496,403,
Tippecanoe,22556,17232,5394,
Tipton,3980,2478,861,
Union,1334,1019,364,
Vanderburgh,28509,30934,6132,
Vermillion,2334,3251,1029,
Vigo,15751,17974,4508,
Wabash,6990,4577,1294,
Warren,1678,1394,560,
Warrick,9221,9285,2471,
Washington,4066,3819,1264,
Wayne,12188,10905,2525,
Wells,6322,3752,1157,
White,4642,3396,1610,
Whitley,5965,4176,1392,
