1960 US Presidential Election,Nixon,Kennedy,Unpledged,
Alabama,237981,318303,0,
Alaska,30953,29809,0,
Arizona,221241,176781,0,
Arkansas,184508,215049,0,
California,3259722,3224099,0,
Colorado,402242,330629,0,
Connecticut,565813,657055,0,
Delaware,96373,99590,0,
Florida,795476,748700,0,
Georgia,274472,458638,0,
Hawaii,92295,92410,0,
Idaho,161597,138853,0,
Illinois,2368988,2377846,0,
Indiana,1175120,952358,0,
Iowa,722381,550565,0,
Kansas,561474,363213,0,
Kentucky,602607,521855,0,
Louisiana,230980,407339,169572,
Maine,240608,181159,0,
Maryland,489538,565808,0,
Massachusetts,976750,1487174,0,
Michigan,1620428,1687269,539,
Minnesota,757915,779933,0,
Mississippi,73561,108362,116248,
Missouri,962221,972201,0,
Montana,141841,134891,0,
Nebraska,380553,232542,0,
Nevada,52387,54880,0,
New Hampshire,157989,137772,0,
New Jersey,1363324,1385415,0,
New Mexico,153733,156027,0,
New York,3446419,3830085,0,
North Carolina,655420,713136,0,
North Dakota,154310,123963,0,
Ohio,2217611,1944248,0,
Oklahoma,533039,370111,0,
Oregon,408060,367402,0,
Pennsylvania,2439956,2556282,0,
Rhode Island,147502,258032,0,
South Carolina,188558,198129,0,
South Dakota,178417,128070,0,
Tennessee,556577,481453,0,
Texas,1121310,1167567,0,
Utah,205361,169248,0,
Vermont,98131,69186,0,
Virginia,404521,362327,0,
Washington,629273,599298,0,
West Virginia,395995,441786,0,
Wisconsin,895175,830805,0,
Wyoming,77451,63331,0,
