1980 US Presidential Election,Reagan,Carter,Anderson,
Bernalillo,83956,54841,15118,
Catron,906,466,40,
Chaves,12502,5350,543,
Colfax,2537,2266,199,
Curry,8132,3622,183,
De Baca,655,484,14,
Dona Ana,15539,10839,1863,
Eddy,9817,7028,326,
Grant,4628,4600,349,
Guadalupe,1065,980,58,
Harding,356,225,14,
Hidalgo,1059,840,59,
Lea,10727,5006,298,
Lincoln,3009,1127,172,
Los Alamos,5460,2368,1388,
Luna,3636,2443,157,
McKinley,7329,4869,498,
Mora,1037,1274,44,
Otero,7210,4111,478,
Quay,2499,1422,58,
Rio Arriba,3794,6245,379,
Roosevelt,3950,2240,208,
Sandoval,6762,4740,789,
San Juan,15579,6705,741,
San Miguel,3292,4514,416,
Santa Fe,12361,12658,3123,
Sierra,2222,1169,117,
Socorro,2685,2226,387,
Taos,3584,4346,482,
Torrance,1907,1261,101,
Union,1407,675,32,
Valencia,11177,6886,825,
