2004 US Presidential Election,Bush,Kerry,Other,
Alabama,1176394,693933,13122,
Alaska,190889,111025,10684,
Arizona,1104294,893524,18284,
Arkansas,572898,469953,12094,
California,5509826,6745485,166548,
Colorado,1101256,1001725,27344,
Connecticut,693826,857488,27455,
Delaware,171660,200152,3458,
District of Columbia,21256,202970,3360,
Florida,3964522,3583544,61744,
Georgia,1914254,1366149,24078,
Hawaii,194191,231708,3114,
Idaho,409235,181098,8114,
Illinois,2345946,2891550,36826,
Indiana,1479438,969011,19553,
Iowa,751957,741898,13053,
Kansas,736456,434993,16307,
Kentucky,1069439,712733,13907,
Louisiana,1102169,820299,20638,
Maine,330201,396842,13709,
Maryland,1024703,1334493,27482,
Massachusetts,1071109,1803800,37479,
Michigan,2313746,2479183,46323,
Minnesota,1346695,1445014,36678,
Mississippi,684981,458094,9290,
Missouri,1455713,1259171,16480,
Montana,266063,173710,10672,
Nebraska,512814,254328,11044,
Nevada,418690,397190,13707,
New Hampshire,331237,340511,5990,
New Jersey,1670003,1911430,30704,
New Mexico,376930,370942,8432,
New York,2962567,4314280,115107,
North Carolina,1961166,1525849,13992,
North Dakota,196651,111052,5130,
Ohio,2859768,2741167,26973,
Oklahoma,959792,503966,0,
Oregon,866831,943163,26788,
Pennsylvania,2793847,2938095,37648,
Rhode Island,169046,259760,8328,
South Carolina,937974,661699,18057,
South Dakota,232584,149244,6387,
Tennessee,1383336,1035160,16453,
Texas,4526917,2832704,51144,
Utah,663742,241199,22903,
Vermont,121180,184067,7062,
Virginia,1716959,1454742,26666,
Washington,1304894,1510201,46618,
West Virginia,423778,326541,5568,
Wisconsin,1478120,1489504,29383,
Wyoming,167629,70776,5023,
