1996 US Presidential Election,Dole,Clinton,Perot,
Adair,1655,1802,458,
Adams,920,1070,320,
Allamakee,2457,2551,680,
Appanoose,2233,2747,554,
Audubon,1314,1827,314,
Benton,3835,5546,846,
Black Hawk,19322,29651,3623,
Boone,4293,6446,987,
Bremer,4213,5023,862,
Buchanan,3043,4997,836,
Buena Vista,3636,3420,831,
Butler,3036,3061,489,
Calhoun,2077,2193,462,
Carroll,3392,4333,998,
Cass,3384,2616,809,
Cedar,2966,3856,756,
Cerro Gordo,7427,11943,1689,
Cherokee,2629,2853,834,
Chickasaw,2191,3355,759,
Clarke,1401,2053,440,
Clay,3129,3659,802,
Clayton,2944,4284,912,
Clinton,7624,11481,2300,
Crawford,2686,3140,847,
Dallas,6647,8017,1198,
Davis,1445,1894,382,
Decatur,1287,1846,452,
Delaware,3065,3704,679,
Des Moines,5778,10761,1792,
Dickinson,3129,3562,901,
Dubuque,13391,20839,3304,
Emmet,1641,2270,470,
Fayette,3848,4832,890,
Floyd,2379,3769,689,
Franklin,2054,2232,417,
Fremont,1576,1481,480,
Greene,1861,2519,396,
Grundy,2928,2322,401,
Guthrie,2034,2552,515,
Hamilton,3109,3455,661,
Hancock,2353,2399,529,
Hardin,3505,4053,713,
Harrison,3070,2576,820,
Henry,3478,3798,914,
Howard,1528,2303,555,
Humboldt,2236,2080,590,
Ida,1684,1589,436,
Iowa,3042,3354,575,
Jackson,2827,4609,936,
Jasper,6414,8776,1263,
Jefferson,2541,2597,571,
Johnson,13402,27888,2313,
Jones,3083,4668,765,
Keokuk,2080,2545,432,
Kossuth,3477,4031,932,
Lee,4932,8831,1734,
Linn,30958,45497,5607,
Louisa,1565,2081,590,
Lucas,1586,2168,433,
Lyon,3396,1489,422,
Madison,2550,3070,654,
Mahaska,4473,3737,656,
Marion,6100,5978,871,
Marshall,7017,8669,1455,
Mills,2958,2068,683,
Mitchell,1877,2596,563,
Monona,1674,1952,580,
Monroe,1272,1884,329,
Montgomery,2583,1912,663,
Muscatine,5858,7674,1705,
O'Brien,3877,2236,578,
Osceola,1736,1010,274,
Page,4032,2220,753,
Palo Alto,1817,2371,477,
Plymouth,5117,3745,997,
Pocahontas,1707,1981,478,
Polk,60884,83877,9516,
Pottawattamie,15648,13276,3534,
Poweshiek,3221,4183,681,
Ringgold,967,1439,310,
Sac,2209,2170,579,
Scott,26751,32694,4991,
Shelby,3056,2176,652,
Sioux,10864,2392,718,
Story,12468,17234,2091,
Tama,2986,3994,713,
Taylor,1419,1458,379,
Union,2156,2787,660,
Van Buren,1460,1536,347,
Wapello,4828,8437,1376,
Warren,6905,9120,1267,
Washington,3600,3828,636,
Wayne,1295,1650,310,
Webster,6275,8380,1580,
Winnebago,2211,2679,590,
Winneshiek,3532,4122,973,
Woodbury,16368,17224,3436,
Worth,1284,2293,403,
Wright,2473,2912,536,
