2008 US Presidential Election,McCain,Obama,Other,
District 1,4149,2597,224,
District 2,4029,3468,238,
District 3,2829,5657,281,
District 4,4302,4161,273,
District 5,3426,3393,304,
District 6,4234,2351,239,
District 7,6297,4283,314,
District 8,4983,4995,342,
District 9,4141,2805,197,
District 10,3392,2074,149,
District 11,7736,1924,206,
District 12,5467,1914,208,
District 13,8432,2800,294,
District 14,8108,2132,216,
District 15,8227,2510,349,
District 16,7774,2636,287,
District 17,6621,2645,182,
District 18,4252,2046,113,
District 19,4106,3095,171,
District 20,2536,2474,128,
District 21,4837,3647,191,
District 22,3109,3337,188,
District 23,2808,4075,199,
District 24,4127,3380,181,
District 25,3042,3233,168,
District 26,4037,4472,186,
District 27,5159,3130,209,
District 28,5953,3642,197,
District 29,4127,2684,151,
District 30,5500,3486,197,
District 31,6419,3596,205,
District 32,6867,5176,264,
District 33,6571,2089,249,
District 34,7358,1920,270,
District 35,4959,4254,290,
District 36,4201,2264,208,
District 37,2661,1868,136,
District 38,2056,2549,215,
District 39,2323,2695,166,
District 40,2686,2137,177,
