2004 US Presidential Election,Bush,Kerry,,
Adair,4971,2562,0,
Alfalfa,2201,470,0,
Atoka,3142,1946,0,
Beaver,2272,297,0,
Beckham,5454,1931,0,
Blaine,3199,1222,0,
Bryan,8615,5745,0,
Caddo,6491,3916,0,
Canadian,33297,9712,0,
Carter,12178,6466,0,
Cherokee,9569,8623,0,
Choctaw,3168,2639,0,
Cimarron,1242,184,0,
Cleveland,65720,34007,0,
Coal,1396,1203,0,
Comanche,21170,12022,0,
Cotton,1742,898,0,
Craig,3894,2504,0,
Creek,18848,9929,0,
Custer,7839,2801,0,
Delaware,10017,5591,0,
Dewey,1843,408,0,
Ellis,1685,395,0,
Garfield,17685,5586,0,
Garvin,7610,3707,0,
Grady,14136,5970,0,
Grant,1950,571,0,
Greer,1529,719,0,
Harmon,838,354,0,
Harper,1397,268,0,
Haskell,2946,2378,0,
Hughes,3066,2283,0,
Jackson,7024,2232,0,
Jefferson,1546,1057,0,
Johnston,2635,1713,0,
Kay,14121,5957,0,
Kingfisher,5630,1022,0,
Kiowa,2610,1413,0,
Latimer,2535,1945,0,
Le Flore,10683,6741,0,
Lincoln,10149,4041,0,
Logan,11474,4869,0,
Love,2295,1538,0,
McClain,10041,3742,0,
McCurtain,7472,3684,0,
McIntosh,4692,4488,0,
Major,3122,537,0,
Marshall,3363,2088,0,
Mayes,9946,6933,0,
Murray,3665,2130,0,
Muskogee,15124,12585,0,
Noble,3993,1335,0,
Nowata,2805,1660,0,
Okfuskee,2542,1743,0,
Oklahoma,174741,97298,0,
Okmulgee,8363,7367,0,
Osage,11467,8068,0,
Ottawa,7443,5086,0,
Pawnee,4412,2564,0,
Payne,19560,10101,0,
Pittsburg,11134,7452,0,
Pontotoc,9647,5165,0,
Pottawatomie,17215,8638,0,
Pushmataha,2863,1934,0,
Roger Mills,1388,382,0,
Rogers,24976,11918,0,
Seminole,5624,3648,0,
Sequoyah,8865,5910,0,
Stephens,13646,5515,0,
Texas,5450,1016,0,
Tillman,2273,1175,0,
Tulsa,163452,90220,0,
Wagoner,19081,9157,0,
Washington,16551,6862,0,
Washita,3705,1340,0,
Woods,3166,932,0,
Woodward,6193,1458,0,
