2012 US Presidential Election,Romney,Obama,Other,
Alcona,3571,2472,61,
Alger,2330,2212,76,
Allegan,31123,20806,690,
Alpena,7298,6549,167,
Antrim,7917,5107,171,
Arenac,4057,3669,115,
Baraga,1866,1574,50,
Barry,16655,11491,471,
Bay,24911,27877,798,
Benzie,5075,4685,141,
Berrien,38209,33465,823,
Branch,10035,6913,199,
Calhoun,28333,29267,727,
Cass,12659,9591,240,
Charlevoix,8000,5939,151,
Cheboygan,7286,5831,233,
Chippewa,8278,7100,186,
Clare,6988,6338,209,
Clinton,20650,18191,394,
Crawford,3744,2994,76,
Delta,9534,8330,186,
Dickinson,7688,4952,211,
Eaton,26197,27913,678,
Emmet,10253,7225,287,
Genesee,71808,128978,2956,
Gladwin,6661,5760,162,
Gogebic,3444,4058,111,
Grand Traverse,26534,20875,788,
Gratiot,8241,7610,184,
Hillsdale,11727,7106,267,
Houghton,8196,6801,364,
Huron,8806,6518,160,
Ingham,45306,80847,2157,
Ionia,14315,11018,523,
Iosco,6909,6242,234,
Iron,3224,2687,101,
Isabella,10800,13038,422,
Jackson,36298,32301,1086,
Kalamazoo,52662,69051,1465,
Kalkaska,4901,3272,126,
Kent,155925,133408,4873,
Keweenaw,774,582,36,
Lake,2487,2752,71,
Lapeer,23734,18796,585,
Leelanau,7483,6576,160,
Lenawee,22351,21776,597,
Livingston,60083,37216,1038,
Luce,1580,991,25,
Mackinac,3397,2652,50,
Macomb,191913,208016,4157,
Manistee,5737,6473,192,
Marquette,13606,18115,625,
Mason,7580,6856,229,
Mecosta,9176,7515,222,
Menominee,5564,5242,161,
Midland,23919,17450,610,
Missaukee,4665,2274,88,
Monroe,35593,36310,1192,
Montcalm,13621,11430,497,
Montmorency,2928,2049,74,
Muskegon,30884,44436,1077,
Newaygo,12457,8728,293,
Oakland,296514,349002,8055,
Oceana,6239,5063,148,
Ogemaw,5437,4791,166,
Ontonagon,1906,1586,47,
Osceola,6141,3981,156,
Oscoda,2308,1657,88,
Otsego,7011,4681,199,
Ottawa,88166,42737,1409,
Presque Isle,3794,3192,94,
Roscommon,6701,6198,178,
Saginaw,42720,54381,1191,
St. Clair,39271,33983,927,
St. Joseph,12978,10112,355,
Sanilac,10963,7212,275,
Schoolcraft,2142,1865,54,
Shiawassee,15962,17197,520,
Tuscola,14240,11425,445,
Van Buren,16141,16290,406,
Washtenaw,56412,120890,3035,
Wayne,213814,595846,8476,
Wexford,8450,6184,219,
