1984 US Presidential Election,Reagan,Mondale,Other,
Anderson,8634,4747,42,
Andrews,3918,820,12,
Angelina,14685,9054,92,
Aransas,4352,1696,19,
Archer,2487,1089,11,
Armstrong,791,238,5,
Atascosa,5279,3547,19,
Austin,4872,1941,21,
Bailey,1888,684,14,
Bandera,3152,771,15,
Bastrop,6439,4744,38,
Baylor,1314,1019,13,
Bee,5377,3659,28,
Bell,31117,13322,323,
Bexar,203319,136947,560,
Blanco,1957,700,8,
Borden,325,140,3,
Bosque,3923,2046,14,
Bowie,18244,10077,88,
Brazoria,39166,18609,234,
Brazos,34733,12348,140,
Brewster,2066,1462,17,
Briscoe,538,471,8,
Brooks,896,2702,16,
Brown,8468,4070,47,
Burleson,3076,2578,12,
Burnet,5895,2983,29,
Caldwell,4315,3401,16,
Calhoun,4434,2586,19,
Callahan,3538,1305,24,
Cameron,29545,26394,187,
Camp,2238,1917,13,
Carson,2412,826,16,
Cass,6677,5053,30,
Castro,2026,1009,21,
Chambers,4322,2632,35,
Cherokee,8187,4494,30,
Childress,1574,900,7,
Clay,2569,1844,13,
Cochran,1117,557,15,
Coke,1060,532,8,
Coleman,2790,1420,7,
Collin,61095,13604,139,
Collingsworth,1396,742,11,
Colorado,4528,2428,15,
Comal,13452,4179,52,
Comanche,2678,2248,22,
Concho,821,580,7,
Cooke,8260,3278,26,
Coryell,9056,3113,30,
Cottle,507,623,20,
Crane,1473,392,9,
Crockett,1094,589,1,
Crosby,1376,1212,11,
Culberson,509,407,1,
Dallam,1594,496,13,
Dallas,405444,203592,1460,
Dawson,3685,1781,17,
Deaf Smith,4762,1485,36,
Delta,1024,973,4,
Denton,52865,16772,159,
Dewitt,4401,1882,9,
Dickens,594,692,8,
Dimmit,1338,2546,8,
Donley,1297,529,5,
Duval,1201,3748,10,
Eastland,4841,2522,26,
Ector,31228,8913,201,
Edwards,626,159,1,
Ellis,16873,8029,72,
El Paso,66114,51917,399,
Erath,6122,3234,39,
Falls,3133,2834,19,
Fannin,4692,4399,15,
Fayette,5711,2379,22,
Fisher,965,1384,8,
Floyd,2092,1023,19,
Foard,472,448,5,
Fort Bend,41370,18729,110,
Franklin,1836,1104,8,
Freestone,3624,2489,9,
Frio,2003,2656,10,
Gaines,2714,797,22,
Galveston,40262,36092,482,
Garza,1219,521,10,
Gillespie,5496,1137,18,
Glasscock,403,128,5,
Goliad,1540,836,1,
Gonzales,3962,2196,14,
Gray,8955,2003,30,
Grayson,22554,11803,93,
Gregg,29697,10700,246,
Grimes,3365,2370,17,
Guadalupe,14382,5060,46,
Hale,7670,3202,19,
Hall,1058,984,3,
Hamilton,2118,1130,10,
Hansford,2213,259,4,
Hardeman,1238,927,8,
Hardin,8380,6782,44,
Harris,536029,334135,2003,
Harrison,12618,7773,118,
Hartley,1419,356,11,
Haskell,1701,1434,16,
Hays,12467,6663,57,
Hemphill,1650,413,4,
Henderson,12725,7302,49,
Hidalgo,35059,44147,226,
Hill,5344,3420,26,
Hockley,5462,2044,39,
Hood,6817,3063,41,
