2008 US Presidential Election,McCain,Obama,Other,
Adair,2060,1924,69,
Adams,1046,1118,42,
Allamakee,2965,3971,126,
Appanoose,3086,2970,123,
Audubon,1634,1739,63,
Benton,6447,7058,212,
Black Hawk,24662,39184,941,
Boone,6293,7356,282,
Bremer,5741,6940,191,
Buchanan,4139,6050,153,
Buena Vista,4223,4075,122,
Butler,3700,3364,102,
Calhoun,2741,2341,113,
Carroll,4922,5302,171,
Cass,4006,3211,135,
Cedar,4289,5221,155,
Cerro Gordo,9375,14405,363,
Cherokee,3372,2890,106,
Chickasaw,2557,3923,106,
Clarke,2118,2218,109,
Clay,4355,3925,122,
Clayton,3651,5195,144,
Clinton,9324,15018,380,
Crawford,3345,3715,131,
Dallas,16954,15149,540,
Davis,2029,1680,109,
Decatur,2020,1986,100,
Delaware,4113,4649,141,
Des Moines,7721,12462,391,
Dickinson,5162,4625,120,
Dubuque,18651,28611,701,
Emmet,2373,2570,72,
Fayette,4205,5908,149,
Floyd,3051,4822,220,
Franklin,2501,2575,73,
Fremont,1989,1848,59,
Greene,2349,2371,84,
Grundy,3945,2790,94,
Guthrie,3074,2625,150,
Hamilton,3913,4018,150,
Hancock,3016,2805,109,
Hardin,4315,4393,153,
Harrison,3909,3555,119,
Henry,4822,4349,209,
Howard,1722,2941,66,
Humboldt,2895,2160,68,
Ida,2036,1454,57,
Iowa,4188,4202,158,
Jackson,3673,6102,182,
Jasper,8794,10250,378,
Jefferson,3324,5070,238,
Johnson,20732,51027,1230,
Jones,4405,5446,157,
Keokuk,2712,2518,132,
Kossuth,4329,4625,146,
Lee,7062,9821,347,
Linn,43626,68037,1706,
Louisa,2314,2523,84,
Lucas,2330,2029,117,
Lyon,4471,1675,74,
Madison,4579,3733,169,
Mahaska,6271,4464,199,
Marion,9256,7421,355,
Marshall,8278,10023,362,
Mills,4183,2976,124,
Mitchell,2469,3179,118,
Monona,2411,2295,91,
Monroe,2000,1798,76,
Montgomery,2887,2326,76,
Muscatine,7929,10920,271,
O'Brien,4894,2338,101,
Osceola,2027,1037,65,
Page,4351,2900,108,
Palo Alto,2294,2428,86,
Plymouth,7765,4629,121,
Pocahontas,2138,1800,74,
Polk,89668,120984,3757,
Pottawattamie,21237,20436,651,
Poweshiek,4340,5519,174,
Ringgold,1401,1236,52,
Sac,2705,2256,92,
Scott,36365,48927,1086,
Shelby,3488,2863,104,
Sioux,13490,3030,145,
Story,18995,26548,1038,
Tama,3820,4899,133,
Taylor,1607,1347,72,
Union,2781,3000,133,
Van Buren,1986,1546,80,
Wapello,6663,8820,457,
Warren,12144,12299,446,
Washington,5247,5170,212,
Wayne,1565,1357,59,
Webster,8337,9917,302,
Winnebago,2730,3254,101,
Winneshiek,4273,6829,182,
Woodbury,22219,21983,613,
Worth,1612,2567,80,
Wright,3198,3102,95,
