1992 US Presidential Election,Bush,Clinton,Perot,
Alamance,20637,15521,6444,
Alexander,6764,4849,2002,
Alleghany,1853,2271,600,
Anson,2334,5269,921,
Ashe,5200,4624,1220,
Avery,3895,1755,1123,
Beaufort,7337,6445,2174,
Bertie,1756,4382,600,
Bladen,3214,5700,1248,
Brunswick,8833,10177,3349,
Buncombe,30892,32955,11481,
Burke,13397,12565,4124,
Cabarrus,21281,13513,6251,
Caldwell,12543,9033,3965,
Camden,1039,1153,479,
Carteret,10334,8028,3401,
Caswell,2793,4725,827,
Catawba,25466,16334,7523,
Chatham,6568,9520,2425,
Cherokee,4021,3686,1040,
Chowan,1661,2136,700,
Clay,1890,1600,465,
Cleveland,13650,13037,3784,
Columbus,5462,11469,1963,
Craven,11575,9998,3679,
Cumberland,27139,30291,6792,
Currituck,2188,1935,1163,
Dare,4357,3925,2388,
Davidson,24869,16462,8324,
Davie,6796,3675,1903,
Duplin,5286,6816,1636,
Durham,27581,47331,7504,
Edgecombe,6275,11174,2175,
Forsyth,52787,49006,14262,
Franklin,4669,6517,2062,
Gaston,34714,19121,7490,
Gates,1158,2206,466,
Graham,1919,1551,403,
Granville,4538,6178,1321,
Greene,2180,2768,780,
Guilford,60140,66319,19601,
Halifax,5769,9960,2047,
Harnett,9751,8473,2684,
Haywood,7292,10385,3303,
Henderson,17010,10747,5260,
Hertford,2208,4609,846,
Hoke,1711,3730,887,
Hyde,740,1206,340,
Iredell,19411,13263,6204,
Jackson,4275,5753,1516,
Johnston,15418,11284,4939,
Jones,1438,1962,444,
Lee,6658,5852,2125,
Lenoir,8932,8793,2107,
Lincoln,11018,8150,3142,
McDowell,6090,5309,1881,
Macon,4797,4624,1829,
Madison,3121,3980,857,
Martin,2958,4069,981,
Mecklenburg,99496,97065,31283,
Mitchell,4405,1727,877,
Montgomery,3543,4422,1185,
Moore,12448,9649,4448,
Nash,14446,10809,4544,
New Hanover,24338,20291,7401,
Northampton,1845,5195,916,
Onslow,11842,8045,4387,
Orange,13009,28595,5535,
Pamlico,1929,2229,809,
Pasquotank,3419,4709,1434,
Pender,4857,5825,1725,
Perquimans,1429,1818,624,
Person,4460,4323,1431,
Pitt,16609,17959,5262,
Polk,3448,2939,1134,
Randolph,20697,11274,6870,
Richmond,4356,9163,2015,
Robeson,7777,19378,3277,
Rockingham,12678,13880,4671,
Rowan,21297,14308,7053,
Rutherford,9748,7855,2695,
Sampson,8007,8698,1852,
Scotland,2980,5175,1196,
Stanly,11030,7735,2855,
Stokes,7979,6463,2183,
Surry,10866,9392,3164,
Swain,1640,2117,568,
Transylvania,5984,5120,2006,
Tyrrell,553,928,189,
Union,16542,10789,4601,
Vance,4747,6598,1444,
Wake,86798,88979,31140,
Warren,1767,4656,693,
Washington,1780,2902,563,
Watauga,7899,8262,3007,
Wayne,14397,10307,2798,
Wilkes,12547,7991,3307,
Wilson,10176,10105,2630,
Yadkin,7311,3913,1725,
Yancey,3994,4285,917,
