2004 US Presidential Election,Bush,Kerry,Other,
Alcona,3592,2871,68,
Alger,2318,2395,52,
Allegan,34022,19355,530,
Alpena,7665,7407,139,
Antrim,8379,5072,168,
Arenac,4071,4076,69,
Baraga,1977,1660,47,
Barry,18638,11312,322,
Bay,25448,31049,562,
Benzie,5284,4383,111,
Berrien,41076,32846,749,
Branch,10784,7004,179,
Calhoun,32093,29891,683,
Cass,12964,9537,196,
Charlevoix,8214,5729,196,
Cheboygan,7798,5941,148,
Chippewa,9122,7203,163,
Clare,7088,6984,154,
Clinton,21989,15483,335,
Crawford,4017,3126,92,
Delta,9680,9381,177,
Dickinson,7734,5650,165,
Eaton,29781,25411,563,
Emmet,10332,6846,194,
Genesee,83870,128334,1571,
Gladwin,6770,6343,114,
Gogebic,3935,4421,96,
Grand Traverse,27446,18256,489,
Gratiot,9834,7377,168,
Hillsdale,12804,7123,289,
Houghton,8889,6731,231,
Huron,9671,7629,166,
Ingham,54734,76877,1442,
Ionia,16621,10647,350,
Iosco,7301,6557,148,
Iron,3224,3215,72,
Isabella,11754,12334,302,
Jackson,40029,31025,741,
Kalamazoo,57147,61462,1174,
Kalkaska,5084,3189,107,
Kent,171201,116909,2781,
Keweenaw,781,630,28,
Lake,2503,2675,68,
Lapeer,25556,18086,505,
Leelanau,7733,6048,136,
Lenawee,25675,20787,550,
Livingston,58860,33991,891,
Luce,1749,1045,35,
Mackinac,3706,2819,74,
Macomb,202166,196160,4084,
Manistee,6295,6272,173,
Marquette,14690,17412,386,
Mason,8124,6333,154,
Mecosta,9710,7730,141,
Menominee,5942,5326,151,
Midland,24369,18355,551,
Missaukee,5055,2319,47,
Monroe,37470,36089,573,
Montcalm,14968,11471,295,
Montmorency,3300,2196,67,
Muskegon,35302,44282,729,
Newaygo,13608,9057,208,
Oakland,316633,319387,5957,
Oceana,6677,5441,179,
Ogemaw,5454,5215,127,
Ontonagon,2262,1863,67,
Osceola,6599,4467,122,
Oscoda,2570,1792,47,
Otsego,7470,4674,163,
Ottawa,92048,35552,1043,
Presque Isle,3982,3432,102,
Roscommon,7364,6810,185,
Saginaw,47165,54887,800,
St. Clair,42740,36174,829,
St. Joseph,15340,9648,251,
Sanilac,12632,7883,248,
Schoolcraft,2267,2137,37,
Shiawassee,19407,16881,363,
Tuscola,15389,12631,318,
Van Buren,17634,16151,389,
Washtenaw,61455,109953,1856,
Wayne,257750,600047,6931,
Wexford,8966,6034,160,
