1988 US Presidential Election,Bush,Dukakis,Other,
Adams,5916,3740,88,
Allen,31021,13727,227,
Ashland,12726,6072,141,
Ashtabula,17654,20536,366,
Athens,9314,10795,172,
Auglaize,13562,4756,161,
Belmont,12214,19515,244,
Brown,7539,5047,112,
Butler,75725,33770,713,
Carroll,6179,4667,148,
Champaign,8995,4272,101,
Clark,32729,23247,527,
Clermont,37417,15352,316,
Clinton,8856,3746,97,
Columbiana,21175,21581,384,
Coshocton,8282,6020,204,
Crawford,12472,6018,210,
Cuyahoga,242439,353401,5277,
Darke,14914,6851,189,
Defiance,9566,5448,139,
Delaware,20693,7590,215,
Erie,16670,15097,431,
Fairfield,29208,12504,339,
Fayette,6186,2623,64,
Franklin,226265,147585,3507,
Fulton,10230,5076,122,
Gallia,7399,4834,116,
Geauga,22339,11874,395,
Greene,34432,18025,399,
Guernsey,8507,5926,130,
Hamilton,227004,140354,3026,
Hancock,19896,7435,312,
Hardin,7291,4145,170,
Harrison,3298,3881,73,
Henry,8618,3764,86,
Highland,8776,4278,124,
Hocking,5426,3706,111,
Holmes,5064,2179,73,
Huron,12633,7794,215,
Jackson,6671,4505,91,
Jefferson,14141,22095,273,
Knox,12180,6882,138,
Lake,52963,39667,894,
Lawrence,12937,11628,203,
Licking,34540,16793,434,
Logan,11099,4484,114,
Lorain,50410,55600,916,
Lucas,83788,99755,1552,
Madison,8303,3421,93,
Mahoning,43722,75524,880,
Marion,14864,9596,258,
Medina,29962,19505,407,
Meigs,5486,3699,91,
Mercer,11162,4978,146,
Miami,24915,11138,381,
Monroe,2557,4269,48,
Montgomery,131596,95737,1610,
Morgan,3713,2085,61,
Morrow,7130,3515,115,
Muskingum,19736,11691,247,
Noble,3155,2079,74,
Ottawa,9352,8038,127,
Paulding,5381,3114,76,
Perry,6602,5011,118,
Pickaway,10796,4905,93,
Pike,5611,5191,117,
Portage,26334,25607,539,
Preble,10297,4937,147,
Putnam,11183,4004,114,
Richland,30047,19617,383,
Ross,14563,9271,279,
Sandusky,14203,9709,320,
Scioto,16029,14442,289,
Seneca,13704,9504,222,
Shelby,12198,5065,162,
Stark,87087,69639,1370,
Summit,101155,112612,1822,
Trumbull,38815,58674,761,
Tuscarawas,17145,14185,259,
Union,8846,3130,95,
Van Wert,9410,3848,78,
Vinton,2652,2385,44,
Warren,31419,11145,254,
Washington,14767,9967,182,
Wayne,22320,13571,317,
Williams,10782,4666,137,
Wood,26013,18579,341,
Wyandot,6178,2936,125,
