2004 US Presidential Election,Bush,Kerry,Other,
Anderson,11525,4678,98,
Andrews,3837,677,22,
Angelina,18932,9302,130,
Aransas,6569,2640,59,
Archer,3556,878,17,
Armstrong,830,170,4,
Atascosa,7635,4421,60,
Austin,8072,2582,48,
Bailey,1882,525,5,
Bandera,6933,1738,70,
Bastrop,13290,9794,357,
Baylor,1169,467,4,
Bee,5428,4045,45,
Bell,52135,27165,424,
Bexar,260698,210976,3640,
Blanco,3277,1267,40,
Borden,303,55,1,
Bosque,5737,1815,34,
Bowie,21791,11880,89,
Brazoria,63662,28904,682,
Brazos,37594,16128,587,
Brewster,1980,1729,51,
Briscoe,620,191,0,
Brooks,845,1823,6,
Brown,11640,2523,90,
Burleson,4405,2276,40,
Burnet,11456,4147,139,
Caldwell,6436,5052,99,
Calhoun,4348,2561,20,
Callahan,4542,1073,39,
Cameron,34801,33998,357,
Camp,2638,1778,23,
Carson,2450,485,9,
Cass,7383,4630,36,
Castro,1794,631,5,
Chambers,8618,2953,78,
Cherokee,11329,4439,71,
Childress,1629,511,4,
Clay,3971,1299,18,
Cochran,856,249,5,
Coke,1338,266,6,
Coleman,3035,778,13,
Collin,174435,68935,1784,
Collingsworth,1051,346,1,
Colorado,5488,2161,41,
Comal,31574,9153,316,
Comanche,3813,1431,24,
Concho,911,270,12,
Cooke,11908,3142,57,
Coryell,12421,5122,82,
Cottle,549,214,5,
Crane,1314,254,6,
Crockett,1248,473,7,
Crosby,1647,622,6,
Culberson,407,375,6,
Dallam,1473,305,4,
Dallas,346246,336641,4822,
Dawson,3419,1114,12,
Deaf Smith,4139,1133,19,
Delta,1447,627,8,
Denton,140891,59346,1173,
DeWitt,5100,1610,22,
Dickens,815,245,3,
Dimmit,1188,2365,13,
Donley,1429,349,6,
Duval,1160,2916,15,
Eastland,5249,1582,26,
Ector,27502,8579,229,
Edwards,745,217,1,
Ellis,34602,11640,202,
El Paso,73261,95142,1170,
Erath,9506,2710,65,
Falls,3454,2427,21,
Fannin,7893,4001,66,
Fayette,7527,2803,67,
Fisher,1161,758,4,
Floyd,2032,545,7,
Foard,347,235,5,
Fort Bend,93625,68722,822,
Franklin,3185,1011,21,
Freestone,5057,2070,34,
Frio,1991,1931,8,
Gaines,3540,608,16,
Galveston,61290,43919,772,
Garza,1480,326,6,
Gillespie,9297,2104,152,
Glasscock,488,44,1,
Goliad,2267,1219,15,
Gonzales,4291,1709,22,
Gray,7260,1289,23,
Grayson,30777,13452,194,
Gregg,29939,12306,153,
Grimes,5263,2713,54,
Guadalupe,28208,10290,254,
Hale,8025,2078,51,
Hall,860,413,4,
Hamilton,2856,845,29,
Hansford,1903,240,4,
Hardeman,1214,480,8,
Hardin,15030,5608,72,
Harris,584723,475865,7380,
Harrison,16473,9642,108,
Hartley,1736,315,8,
Haskell,1539,867,10,
Hays,27021,20110,692,
Hemphill,1380,257,6,
Henderson,20210,8505,134,
Hidalgo,50931,62369,383,
Hill,9225,3751,77,
Hockley,6160,1385,32,
Hood,16280,4865,148,
Hopkins,8582,3443,37,
Houston,5848,2921,37,
Howard,7480,2663,58,
Hudspeth,577,302,7,
Hunt,20065,7971,158,
Hutchinson,7839,1503,27,
Irion,684,141,3,
Jack,2470,643,13,
Jackson,3766,1296,15,
Jasper,8347,4471,55,
Jeff Davis,764,378,25,
Jefferson,44423,47066,377,
Jim Hogg,712,1344,9,
Jim Wells,5817,6824,50,
Johnson,34818,12325,279,
Jones,4254,1658,19,
Karnes,3114,1543,16,
Kaufman,21304,8947,115,
Kendall,11434,2532,106,
