2012 US Presidential Election,Romney,Obama,Other,
Albany,45064,87556,3147,
Allegany,10390,6139,424,
Bronx,29967,339211,1760,
Broome,37641,41970,1954,
Cattaraugus,16569,12649,549,
Cayuga,13454,17007,700,
Chautauqua,27971,23812,1069,
Chemung,17612,16797,601,
Chenango,9713,9116,485,
Clinton,11115,18961,580,
Columbia,12225,16221,683,
Cortland,8695,10482,447,
Delaware,9938,8304,396,
Dutchess,56025,65312,2368,
Erie,169675,237356,7164,
Essex,6647,9784,286,
Franklin,5740,9894,300,
Fulton,10814,8607,378,
Genesee,14607,9601,538,
Greene,11174,9030,464,
Hamilton,1932,1128,53,
Herkimer,13282,11273,485,
Jefferson,18122,17099,487,
Kings,124551,604443,7988,
Lewis,5651,4724,147,
Livingston,14448,11705,617,
Madison,13622,13871,601,
Monroe,133362,193501,6950,
Montgomery,9334,8493,359,
Nassau,259308,302695,6148,
New York,89559,502674,8058,
Niagara,43240,43986,1787,
Oneida,44530,40468,1702,
Onondaga,78831,122254,3632,
Ontario,23820,23087,946,
Orange,65367,73315,1946,
Orleans,8594,5787,325,
Oswego,19980,23515,1096,
Otsego,11461,12117,561,
Putnam,24083,19512,750,
Queens,118589,470732,5924,
Rensselaer,29113,37408,1540,
Richmond,74223,78181,1776,
Rockland,57428,65793,1424,
St. Lawrence,15138,21353,700,
Saratoga,50382,52957,2171,
Schenectady,26568,36844,1521,
Schoharie,7467,5427,313,
Schuyler,4281,3674,191,
Seneca,5889,7094,283,
Steuben,21954,15787,790,
Suffolk,282131,304079,8056,
Sullivan,12705,15268,442,
Tioga,12117,8930,542,
Tompkins,11107,27244,1430,
Ulster,29759,47752,2115,
Warren,14119,14806,653,
Washington,11085,11523,487,
Wayne,20060,16635,852,
Westchester,143122,240785,4540,
Wyoming,10348,5661,326,
Yates,4798,4488,156,
