1968 US Presidential Election,Nixon,Humphrey,Wallace,
Anderson,10233,7198,4323,
Bedford,1870,2416,4099,
Benton,1468,1059,2255,
Bledsoe,1477,957,732,
Blount,12753,5176,4407,
Bradley,6924,2762,4159,
Campbell,4024,2268,1367,
Cannon,780,809,1464,
Carroll,3757,1932,3298,
Carter,9467,2160,3009,
Cheatham,669,778,2497,
Chester,1408,849,2037,
Claiborne,3101,1314,775,
Clay,814,667,451,
Cocke,5645,950,1159,
Coffee,3337,3040,4794,
Crockett,932,703,2865,
Cumberland,3115,1428,1469,
Davidson,44175,44543,47889,
Decatur,1409,877,1544,
DeKalb,1532,847,1516,
Dickson,1291,2034,3475,
Dyer,2826,2033,5842,
Fayette,740,2236,2570,
Fentress,2026,671,808,
Franklin,1700,2489,4939,
Gibson,4093,3962,7233,
Giles,1264,2203,3966,
Grainger,2788,761,596,
Greene,7957,2947,2753,
Grundy,618,1307,1642,
Hamblen,6382,2390,2259,
Hamilton,29302,23441,32080,
Hancock,1489,318,236,
Hardeman,1171,1709,2924,
Hardin,2910,1153,2325,
Hawkins,6217,2213,1798,
Haywood,1152,1709,2757,
Henderson,3591,1230,2086,
Henry,2068,3149,3439,
Hickman,760,1152,2473,
Houston,232,636,941,
Humphreys,866,1391,2095,
Jackson,673,1122,908,
Jefferson,5494,1494,1199,
Johnson,3107,450,375,
Knox,47202,24528,18277,
Lake,409,737,1262,
Lauderdale,1080,2108,3566,
Lawrence,4343,2191,3993,
Lewis,455,1088,997,
Lincoln,1167,1848,4214,
Loudon,4299,1581,1996,
McMinn,6098,2889,2535,
McNairy,2979,1377,2872,
Macon,2173,530,1041,
Madison,6143,5517,9420,
Marion,1959,1661,2784,
Marshall,1202,1527,3379,
Maury,3048,3401,8148,
Meigs,729,493,442,
Monroe,4749,2926,1222,
Montgomery,3248,5538,5638,
Moore,224,346,856,
Morgan,1803,968,1028,
Obion,2420,2235,4680,
Overton,1258,1592,1176,
Perry,519,726,784,
Pickett,884,405,199,
Polk,1808,1454,754,
Putnam,3693,3541,3073,
Rhea,2428,1301,2237,
Roane,6033,3258,3898,
Robertson,1802,2315,3904,
Rutherford,4168,4921,7773,
Scott,2406,991,734,
Sequatchie,663,549,1011,
Sevier,7629,1112,1476,
Shelby,73416,81486,76996,
Smith,1089,1443,1831,
Stewart,443,1041,1057,
Sullivan,20251,9783,9991,
Sumner,4519,4376,7592,
Tipton,1422,2071,4943,
Trousdale,252,694,649,
Unicoi,3327,910,843,
Union,1956,527,449,
Van Buren,327,282,507,
Warren,1858,2046,3814,
Washington,12882,4930,4925,
Wayne,2417,506,1208,
Weakley,2858,1988,4525,
White,1423,1584,1750,
Williamson,2788,2063,4867,
Wilson,2736,2916,5648,
