1980 US Presidential Election,Reagan,Carter,Anderson,
Alcona,2905,1857,247,
Alger,2059,2242,263,
Allegan,20560,9877,1984,
Alpena,6901,5834,913,
Antrim,4706,2909,602,
Arenac,3436,2547,333,
Baraga,2046,1609,201,
Barry,12006,6857,1399,
Bay,25331,24517,3886,
Benzie,3054,1842,455,
Berrien,41458,22152,3422,
Branch,10224,4635,1102,
Calhoun,30912,23022,4468,
Cass,11206,7058,1156,
Charlevoix,5053,3741,816,
Cheboygan,5221,3938,638,
Chippewa,7059,5268,951,
Clare,5719,4164,663,
Clinton,14968,7539,1736,
Crawford,2652,1826,390,
Delta,8146,8475,849,
Dickinson,6614,5694,596,
Eaton,22927,12742,3533,
Emmet,5930,3724,1134,
Genesee,78572,90393,12274,
Gladwin,4509,3733,463,
Gogebic,4388,5254,493,
Grand Traverse,14484,7150,2568,
Gratiot,9294,4916,1193,
Hillsdale,10951,4375,882,
Houghton,7926,6858,1423,
Huron,10553,4434,976,
Ingham,56777,48278,17139,
Ionia,12040,7039,1539,
Iosco,6680,4255,739,
Iron,3507,3742,371,
Isabella,10407,7293,2511,
Jackson,33749,23685,4165,
Kalamazoo,48669,34528,10833,
Kalkaska,2802,1807,260,
Kent,112604,72790,17913,
Keweenaw,583,570,87,
Lake,1730,2041,187,
Lapeer,15996,9671,1868,
Leelanau,4585,2348,839,
Lenawee,20366,12935,2230,
Livingston,25012,12626,3247,
Luce,1659,992,177,
Mackinac,3021,2262,415,
Macomb,154155,120125,18975,
Manistee,5662,4164,699,
Marquette,13181,13312,2481,
Mason,7137,4134,825,
Mecosta,7754,5228,1322,
Menominee,6170,4962,452,
Midland,17828,12019,3152,
Missaukee,3221,1563,230,
Monroe,25612,20578,3111,
Montcalm,10822,6706,1309,
Montmorency,2400,1654,195,
Muskegon,36512,26645,4094,
Newaygo,8918,5236,850,
Oakland,253211,164869,38273,
Oceana,5465,3386,570,
Ogemaw,4169,3426,425,
Ontonagon,2569,2375,237,
Osceola,4902,2650,466,
Oscoda,1915,1325,183,
Otsego,3771,2666,493,
Ottawa,51217,18435,4903,
Presque Isle,3486,2952,382,
Roscommon,5280,3763,508,
Saginaw,45233,41650,5677,
St. Clair,31021,20410,3592,
St. Joseph,13631,6318,1283,
Sanilac,12158,4898,863,
Schoolcraft,2097,1964,243,
Shiawassee,15756,11985,2121,
Tuscola,13306,7632,1266,
Van Buren,14451,9248,1691,
Washtenaw,48699,51013,13463,
Wayne,315532,522024,43608,
Wexford,6027,4173,752,
