1976 US Presidential Election,Ford,Carter,Other,
Alameda,155280,235988,16413,
Alpine,225,189,33,
Amador,3699,4037,282,
Butte,28400,24203,2251,
Calaveras,3695,3607,226,
Colusa,2733,2340,109,
Contra Costa,126598,123742,6194,
Del Norte,2481,2789,208,
El Dorado,12472,12763,919,
Fresno,72533,74958,3314,
Glenn,4094,3501,178,
Humboldt,18034,23500,1838,
Imperial,10618,10244,400,
Inyo,3905,2635,166,
Kern,58023,50567,2371,
Kings,8263,8061,318,
Lake,5462,6374,449,
Lassen,3007,3801,190,
Los Angeles,1174926,1221893,62258,
Madera,6844,7625,423,
Marin,53425,43590,4700,
Mariposa,2012,2093,212,
Mendocino,9784,10653,1072,
Merced,14842,16637,729,
Modoc,1917,1733,94,
Mono,1600,1025,96,
Monterey,40896,36849,2408,
Napa,20839,18048,1318,
Nevada,8170,7926,785,
Orange,408632,232246,16555,
Placer,18154,21026,1131,
Plumas,2884,3429,250,
Riverside,97774,96228,4556,
Sacramento,123110,144203,8563,
San Benito,3398,3122,160,
San Bernardino,113265,109636,5984,
San Diego,353302,263654,16839,
San Francisco,103561,133733,19594,
San Joaquin,50277,48733,2351,
San Luis Obispo,27785,24926,1587,
San Mateo,117338,102896,11507,
Santa Barbara,60922,55018,3904,
Santa Clara,219188,208023,15927,
Santa Cruz,31872,37772,4325,
Shasta,17273,19200,1381,
Sierra,680,841,55,
Siskiyou,7070,7060,485,
Solano,26136,33682,1826,
Sonoma,50555,50353,5044,
Stanislaus,32937,38448,2080,
Sutter,8745,6966,420,
Tehama,6110,6990,535,
Trinity,1989,2172,195,
Tulare,31864,25551,1027,
Tuolumne,6104,6492,407,
Ventura,82670,68529,4201,
Yolo,18376,23533,1408,
Yuba,5496,6451,338,
