1984 US Presidential Election,Reagan,Mondale,Other,
Bernalillo,104694,67789,1779,
Catron,970,418,27,
Chaves,15248,5332,202,
Cibola,3578,3140,22,
Colfax,2994,2435,56,
Curry,9188,3108,119,
De Baca,756,386,17,
Dona Ana,22153,13878,362,
Eddy,11810,7364,191,
Grant,4979,5755,106,
Guadalupe,990,946,30,
Harding,401,224,6,
Hidalgo,1282,860,19,
Lea,14569,4558,230,
Lincoln,3992,1134,56,
Los Alamos,6882,2859,147,
Luna,4145,2557,74,
McKinley,6557,7915,171,
Mora,1017,1235,35,
Otero,9751,4167,169,
Quay,2842,1368,43,
Rio Arriba,4116,6938,92,
Roosevelt,4598,1696,69,
Sandoval,9005,7080,161,
San Juan,18690,8963,257,
San Miguel,3485,5227,138,
Santa Fe,15886,18262,404,
Sierra,2663,1335,37,
Socorro,3403,2541,104,
Taos,4154,5144,134,
Torrance,2326,1274,33,
Union,1503,488,28,
Valencia,8474,5393,182,
