2004 US Presidential Election,Bush,Kerry,Other,
Alamance,33302,20686,187,
Alexander,10928,4618,54,
Alleghany,2883,1922,22,
Anson,3796,5413,16,
Ashe,7292,4477,54,
Avery,5678,1805,41,
Beaufort,12432,7025,65,
Bertie,3057,4938,37,
Bladen,6174,6109,30,
Brunswick,22925,14903,149,
Buncombe,52491,51868,654,
Burke,18922,11728,112,
Cabarrus,40780,19803,241,
Caldwell,21186,9999,163,
Camden,2480,1339,11,
Carteret,17716,7732,127,
Caswell,4868,4539,30,
Catawba,39602,18858,228,
Chatham,12892,12897,133,
Cherokee,7517,3635,47,
Chowan,2967,2406,13,
Clay,3209,1628,29,
Cleveland,22750,14215,114,
Columbus,10773,10343,75,
Craven,23575,14019,162,
Cumberland,49139,45788,299,
Currituck,6013,2909,54,
Dare,9345,6136,67,
Davidson,42075,17191,230,
Davie,12372,4233,75,
Duplin,9611,6923,49,
Durham,34614,74524,513,
Edgecombe,8163,12877,39,
Forsyth,75294,63340,491,
Franklin,11540,9286,92,
Gaston,43252,20254,249,
Gates,1924,2121,8,
Graham,2693,1272,22,
Granville,9491,9057,53,
Greene,3800,2665,7,
Guilford,98254,100042,1018,
Halifax,8088,11528,31,
Harnett,20922,11563,86,
Haywood,14545,11237,150,
Henderson,28025,15003,206,
Hertford,2942,5141,49,
Hoke,5257,5794,37,
Hyde,1235,1048,10,
Iredell,38675,18065,233,
Jackson,7351,6737,86,
Johnston,36903,17266,188,
Jones,2607,1893,13,
Lee,11834,7657,52,
Lenoir,12939,10207,33,
Lincoln,20052,9434,93,
McDowell,10590,5330,82,
Macon,9448,5489,87,
Madison,5175,4234,54,
Martin,5334,5102,16,
Mecklenburg,155084,166828,1190,
Mitchell,5686,2080,32,
Montgomery,5745,4313,22,
Moore,24714,13555,113,
Nash,21902,15693,78,
New Hanover,45351,35572,324,
Northampton,3176,5584,10,
Onslow,25890,11250,137,
Orange,20771,42910,472,
Pamlico,3679,2335,24,
Pasquotank,6609,6984,55,
Pender,10037,6999,49,
Perquimans,2965,1971,22,
Person,8973,6198,43,
Pitt,28590,24924,129,
Polk,5140,3787,94,
Randolph,37771,12966,173,
Richmond,7709,8383,53,
Robeson,15909,17868,94,
Rockingham,22840,14430,118,
Rowan,34915,16735,217,
Rutherford,16343,8184,131,
Sampson,12600,9649,39,
Scotland,5141,6386,20,
Stanly,17814,7650,89,
Stokes,13583,5767,64,
Surry,17587,8304,101,
Swain,2593,2419,32,
Transylvania,9386,6097,105,
Tyrrell,855,731,4,
Union,42820,17974,207,
Vance,6884,8762,31,
Wake,177324,169909,1611,
Warren,2840,5171,16,
Washington,2484,2969,18,
Watauga,12659,11232,159,
Wayne,24883,15076,87,
Wilkes,19197,7862,95,
Wilson,16264,14206,65,
Yadkin,11816,3451,46,
Yancey,4940,4434,57,
