1980 US Presidential Election,Reagan,Carter,Anderson,
Albany,52354,74429,14563,
Allegany,10423,5879,973,
Bronx,86843,181090,11286,
Broome,39275,37013,11388,
Cattaraugus,17222,12917,1848,
Cayuga,17945,11708,2539,
Chautauqua,30081,22871,4699,
Chemung,19674,14565,2465,
Chenango,10400,6917,1908,
Clinton,13120,11498,1904,
Columbia,13946,9500,2204,
Cortland,9885,6176,1603,
Delaware,10609,6333,1865,
Dutchess,53616,28616,8824,
Erie,169209,215283,29580,
Essex,9025,6443,1213,
Franklin,7620,7281,1182,
Fulton,11448,8105,1566,
Genesee,11650,10677,1651,
Greene,11286,6488,1338,
Hamilton,2038,925,176,
Herkimer,14105,11497,1830,
Jefferson,16455,13271,2834,
Kings,200306,288893,24341,
Lewis,4937,3973,716,
Livingston,11193,9030,1694,
Madison,13369,7843,2122,
Monroe,128615,142423,29118,
Montgomery,11917,9645,2080,
Nassau,333567,207602,44758,
New York,115911,275742,38597,
Niagara,38760,40405,6014,
Oneida,51968,44292,6929,
Onondaga,97887,73453,18805,
Ontario,17036,14477,3147,
Orange,51268,30022,7656,
Orleans,7536,5767,977,
Oswego,22816,15343,3333,
Otsego,11814,8795,2874,
Putnam,20193,8691,2340,
Queens,251333,269147,32566,
Rensselaer,32005,29880,6443,
Richmond,64885,37306,7055,
Rockland,59068,35277,8709,
St. Lawrence,18437,17006,3544,
Saratoga,34184,23641,6201,
Schenectady,32003,29932,7146,
Schoharie,6382,4715,940,
Schuyler,3838,2514,476,
Seneca,7174,5010,1205,
Steuben,22418,12826,2257,
Suffolk,256294,149945,34743,
Sullivan,15089,9553,2095,
Tioga,10291,6690,1851,
Tompkins,12448,11970,4081,
Ulster,36709,22179,5995,
Warren,13264,6971,1766,
Washington,12835,7144,1501,
Wayne,16498,12590,2623,
Westchester,198552,130136,30119,
Wyoming,8108,5234,855,
Yates,4694,2828,690,
