1976 US Presidential Election,Ford,Carter,Other,
Adams,4197,4450,133,
Allen,23721,14627,819,
Ashland,9761,7205,388,
Ashtabula,16885,20883,857,
Athens,8387,9896,733,
Auglaize,9772,5840,353,
Belmont,13550,21162,507,
Brown,4549,5432,145,
Butler,49625,35123,1469,
Carroll,5091,5006,228,
Champaign,6526,4748,228,
Clark,26745,26135,1780,
Clermont,19616,14850,571,
Clinton,6597,4959,181,
Columbiana,22318,23096,953,
Coshocton,6361,5827,308,
Crawford,10801,7553,516,
Cuyahoga,255594,349186,18442,
Darke,11580,9901,472,
Defiance,7526,5850,303,
Delaware,12285,7058,510,
Erie,14742,13843,893,
Fairfield,19098,13361,620,
Fayette,5719,4477,168,
Franklin,189645,141624,9443,
Fulton,7891,4850,208,
Gallia,5198,4971,148,
Geauga,15004,10449,816,
Greene,22598,20245,1234,
Guernsey,7746,7573,205,
Hamilton,211267,135605,6207,
Hancock,15983,8548,802,
Hardin,6076,4650,349,
Harrison,3509,4070,102,
Henry,7656,4592,222,
Highland,6853,6327,151,
Hocking,4114,5126,156,
Holmes,2870,2242,187,
Huron,9386,7742,938,
Jackson,5987,6699,136,
Jefferson,14839,22318,668,
Knox,9290,7361,430,
Lake,36390,40734,2284,
Lawrence,10668,12072,256,
Licking,23518,19247,968,
Logan,9092,5949,361,
Lorain,39459,52387,2865,
Lucas,76069,103658,4180,
Madison,7074,4885,202,
Mahoning,46314,75837,3143,
Marion,13141,10962,517,
Medina,19066,16251,932,
Meigs,4942,5262,144,
Mercer,7678,6724,447,
Miami,18686,13074,653,
Monroe,2728,4296,108,
Montgomery,100223,106468,4745,
Morgan,2971,2727,111,
Morrow,5814,4870,228,
Muskingum,15358,14178,534,
Noble,3007,2612,111,
Ottawa,8241,9646,412,
Paulding,3593,3229,165,
Perry,5637,6268,233,
Pickaway,7695,5907,443,
Pike,3729,5734,111,
Portage,17927,24417,1480,
Preble,6654,5850,243,
Putnam,7332,5035,343,
Richland,24310,23065,1876,
Ross,11477,10743,531,
Sandusky,13074,11202,591,
Scioto,13021,18019,448,
Seneca,11730,10074,712,
Shelby,8011,6414,434,
Stark,72607,70012,3090,
Summit,80415,123711,5224,
Trumbull,36469,53828,2247,
Tuscarawas,14279,16880,682,
Union,7464,4377,202,
Van Wert,8344,5689,251,
Vinton,2148,2629,69,
Warren,16115,13349,471,
Washington,11513,8914,669,
Wayne,16976,13087,691,
Williams,7596,4920,246,
Wood,19331,16926,874,
Wyandot,5661,4043,242,
