1968 US Presidential Election,Nixon,Humphrey,Wallace,
Adams,3973,2685,1049,
Allen,23124,10994,4231,
Ashland,9745,4526,1323,
Ashtabula,17058,16738,2753,
Athens,7837,7351,1207,
Auglaize,9368,5550,1528,
Belmont,11512,22056,2478,
Brown,4700,3610,2307,
Butler,35962,23649,14188,
Carroll,4634,3119,1092,
Champaign,6863,4264,1621,
Clark,23748,24029,6710,
Clermont,15299,8859,7690,
Clinton,6265,2982,1830,
Columbiana,19947,19382,3832,
Coshocton,7256,5013,1270,
Crawford,11898,6737,2373,
Cuyahoga,238791,363540,71360,
Darke,10926,7371,2015,
Defiance,7348,5686,925,
Delaware,9029,4056,2557,
Erie,13023,11388,2437,
Fairfield,14810,9533,4124,
Fayette,5339,2966,1962,
Franklin,148933,101240,37390,
Fulton,7817,3338,1033,
Gallia,5134,2660,1039,
Geauga,11857,7825,3226,
Greene,17589,15178,5999,
Guernsey,7336,5815,1685,
Hamilton,183611,135057,46742,
Hancock,15032,6918,2659,
Hardin,6963,4180,1794,
Harrison,3532,3594,574,
Henry,6970,3256,799,
Highland,6489,3828,2208,
Hocking,3998,3701,1003,
Holmes,3350,1898,479,
Huron,9456,6515,1741,
Jackson,5870,4021,1077,
Jefferson,12949,21917,3740,
Knox,9072,5725,1695,
Lake,28450,27932,9160,
Lawrence,9782,8671,2470,
Licking,19542,15021,5405,
Logan,8362,4889,1647,
Lorain,34252,42642,8825,
Lucas,69403,91346,17260,
Madison,5882,2780,1631,
Mahoning,42948,68433,12189,
Marion,12887,8611,2772,
Medina,14089,9194,3632,
Meigs,4759,2921,774,
Mercer,6313,6801,1095,
Miami,16997,13228,3348,
Monroe,2686,3105,562,
Montgomery,84766,96082,26232,
Morgan,3030,1789,450,
Morrow,4898,2405,1509,
Muskingum,15260,13089,3356,
Noble,2615,1726,587,
Ottawa,7149,6319,1647,
Paulding,4074,2703,908,
Perry,4815,4811,1084,
Pickaway,6690,3536,2335,
Pike,3247,3445,1423,
Portage,15064,16348,5093,
Preble,6544,3817,2073,
Putnam,7188,3530,1387,
Richland,23484,14988,5311,
Ross,11284,6873,4087,
Sandusky,11696,8581,1745,
Scioto,15310,13836,3171,
Seneca,12040,8970,2010,
Shelby,7248,6479,1499,
Stark,68414,57675,16775,
Summit,82649,100068,26157,
Trumbull,33076,40365,9314,
Tuscarawas,14102,15617,2741,
Union,6415,2431,1392,
Van Wert,7835,4360,1332,
Vinton,2219,1608,414,
Warren,12663,6756,6595,
Washington,11888,6922,1597,
Wayne,15151,8891,1924,
Williams,8059,4456,970,
Wood,16111,10867,2952,
Wyandot,5265,2919,910,
