2008 US Presidential Election,McCain,Obama,Other,
Bernalillo,110521,171556,3701,
Catron,1398,664,50,
Chaves,13651,8197,264,
Cibola,3131,5827,139,
Colfax,2805,3490,89,
Curry,9599,4670,169,
De Baca,676,359,9,
Dona Ana,28068,40282,930,
Eddy,12500,7351,242,
Grant,5406,8142,207,
Guadalupe,620,1557,19,
Harding,358,260,8,
Hidalgo,936,993,22,
Lea,13347,5108,190,
Lincoln,6001,3535,160,
Los Alamos,5064,5824,181,
Luna,3870,4311,159,
McKinley,6382,16572,253,
Mora,569,2168,23,
Otero,12806,8610,350,
Quay,2367,1547,82,
Rio Arriba,4086,12703,151,
Roosevelt,4311,2303,106,
Sandoval,25193,32669,768,
San Juan,27869,18028,614,
San Miguel,2478,10320,143,
Santa Fe,15807,55567,849,
Sierra,3017,2352,116,
Socorro,3032,4696,167,
Taos,2866,13816,204,
Torrance,3735,3087,119,
Union,1227,492,23,
Valencia,13136,15366,397,
