2000 US Presidential Election,Bush,Gore,Nader,
Bernalillo,95249,99461,8274,
Catron,1273,353,57,
Chaves,11378,6340,307,
Cibola,2752,4127,164,
Colfax,2600,2653,163,
Curry,8301,3471,147,
De Baca,612,349,12,
Dona Ana,21263,23912,1158,
Eddy,10335,7108,256,
Grant,4961,5673,530,
Guadalupe,548,1076,24,
Harding,366,214,9,
Hidalgo,954,839,28,
Lea,10157,3855,169,
Lincoln,4458,2027,168,
Los Alamos,5623,4149,329,
Luna,3395,2975,186,
McKinley,5070,10281,392,
Mora,668,1456,49,
Otero,10258,5465,338,
Quay,2292,1471,51,
Rio Arriba,3495,8169,377,
Roosevelt,3762,1762,98,
Sandoval,15423,14899,1211,
San Juan,21434,11980,923,
San Miguel,2215,6540,344,
Santa Fe,13974,32017,3215,
Sierra,2721,1689,132,
Socorro,3173,3294,279,
Taos,2744,7039,1064,
Torrance,2891,1868,163,
Union,1269,452,19,
Valencia,10803,9819,615,
