1980 US Presidential Election,Reagan,Carter,Anderson,
Alameda,158531,201720,40834,
Alpine,254,133,50,
Amador,5401,3191,788,
Butte,38188,19520,6108,
Calaveras,6054,3076,776,
Colusa,2897,1605,325,
Contra Costa,144112,107398,28209,
Del Norte,4016,2338,486,
El Dorado,21238,10765,3287,
Fresno,82515,65254,10727,
Glenn,5386,2227,537,
Humboldt,24047,17113,5440,
Imperial,12068,7961,1203,
Inyo,5201,2080,515,
Kern,72842,41097,5799,
Kings,10531,7299,901,
Lake,8934,5978,1157,
Lassen,4464,2941,543,
Los Angeles,1224533,979830,175882,
Madera,10599,7783,1013,
Marin,49678,39231,13805,
Mariposa,3082,1889,458,
Mendocino,12432,10784,2747,
Merced,18043,15886,2316,
Modoc,2579,1046,293,
Mono,2132,865,302,
Monterey,47452,29086,8008,
Napa,23632,14898,4218,
Nevada,15207,7605,2235,
Orange,529797,176704,55299,
Placer,28179,17311,4356,
Plumas,4182,2911,783,
Riverside,145642,76650,16362,
Sacramento,153721,130031,29655,
San Benito,4054,2749,552,
San Bernardino,172957,91790,19106,
San Diego,435910,195410,67491,
San Francisco,80967,133184,29365,
San Joaquin,64718,41551,8416,
San Luis Obispo,38631,20508,8407,
San Mateo,116491,87335,27985,
Santa Barbara,69629,40650,14786,
Santa Clara,229048,166995,65481,
Santa Cruz,37347,32346,10590,
Shasta,27547,15364,3220,
Sierra,855,651,156,
Siskiyou,9331,5664,1269,
Solano,40919,30952,6713,
Sonoma,60722,45596,14068,
Stanislaus,41595,33683,7134,
Sutter,11778,5103,1089,
Tehama,9140,4832,1014,
Trinity,3048,1734,506,
Tulare,41317,25155,3244,
Tuolumne,8810,5449,1390,
Ventura,114930,56311,14887,
Yolo,19603,21527,6669,
Yuba,7942,4896,878,
