1992 US Presidential Election,Bush,Clinton,Perot,
Adams,2087,1449,1010,
Asotin,2425,3239,1849,
Benton,22883,16459,12878,
Chelan,10716,7860,4606,
Clallam,9765,10820,7775,
Clark,36906,42648,26163,
Columbia,761,668,466,
Cowlitz,10000,15052,9246,
Douglas,4920,3731,2315,
Ferry,773,963,762,
Franklin,4486,3743,2597,
Garfield,620,473,222,
Grant,9503,7278,4898,
Grays Harbor,6904,12599,7460,
Island,9526,9555,7889,
Jefferson,3467,6148,3168,
King,212986,391050,167216,
Kitsap,29340,34442,23873,
Kittitas,4078,5432,2778,
Klickitat,2085,2758,1938,
Lewis,12316,7810,6684,
Lincoln,2152,1653,1098,
Mason,5776,8076,5577,
Okanogan,4265,5015,3541,
Pacific,2243,4587,2351,
Pend Oreille,1528,1798,1340,
Pierce,77410,102243,59523,
San Juan,1901,3353,1776,
Skagit,13388,15936,10973,
Skamania,1102,1474,1050,
Snohomish,69137,88643,65838,
Spokane,59984,69526,38251,
Stevens,5706,4960,3769,
Thurston,25643,38293,19551,
Wahkiakum,488,696,584,
Walla Walla,7894,7325,4507,
Whatcom,23801,26619,12455,
Whitman,6428,7637,3220,
Yakima,25841,21026,10583,
