2008 US Presidential Election,McCain,Obama,Other,
Alcona,3404,2896,120,
Alger,2188,2472,90,
Allegan,30061,24165,1154,
Alpena,7125,7705,294,
Antrim,7506,6079,267,
Arenac,3807,4155,166,
Baraga,1846,1725,82,
Barry,16431,13449,749,
Bay,23795,32589,1204,
Benzie,4687,5451,171,
Berrien,36130,40381,1323,
Branch,9534,8413,338,
Calhoun,28553,34561,1082,
Cass,11114,12083,379,
Charlevoix,7306,6817,275,
Cheboygan,6920,6720,261,
Chippewa,8267,8184,257,
Clare,6793,7496,316,
Clinton,19726,20005,650,
Crawford,3561,3441,176,
Delta,8763,9974,327,
Dickinson,7049,5995,267,
Eaton,25900,30742,974,
Emmet,9314,8515,320,
Genesee,72451,143927,4117,
Gladwin,6391,6590,260,
Gogebic,3330,4757,194,
Grand Traverse,24716,23258,869,
Gratiot,8322,9105,311,
Hillsdale,11221,8765,463,
Houghton,8101,7476,395,
Huron,8434,8367,334,
Ingham,46483,93994,2549,
Ionia,14156,12565,638,
Iosco,6583,7309,333,
Iron,2947,3080,135,
Isabella,11220,16679,511,
Jackson,35692,37480,1507,
Kalamazoo,51554,77051,2456,
Kalkaska,4527,3780,192,
Kent,148336,149909,5554,
Keweenaw,756,610,44,
Lake,2269,2919,104,
Lapeer,22831,21457,1074,
Leelanau,6938,7355,171,
Lenawee,22225,24640,1000,
Livingston,55592,42349,1965,
Luce,1490,1191,59,
Mackinac,3268,3027,114,
Macomb,187663,223784,8729,
Manistee,5510,7235,264,
Marquette,12906,19635,719,
Mason,7147,7817,277,
Mecosta,9238,9101,358,
Menominee,4855,5981,236,
Midland,22263,20701,834,
Missaukee,4469,2898,125,
Monroe,35858,39180,1593,
Montcalm,13291,13208,597,
Montmorency,2841,2403,116,
Muskegon,29145,53821,1490,
Newaygo,11862,10790,544,
Oakland,276956,372566,10873,
Oceana,5860,6405,244,
Ogemaw,5133,5391,274,
Ontonagon,1823,1966,96,
Osceola,5973,4855,198,
Oscoda,2320,1887,139,
Otsego,6752,5634,261,
Ottawa,83330,50828,2381,
Presque Isle,3606,3722,183,
Roscommon,6727,7082,287,
Saginaw,42225,60276,1782,
St. Clair,38536,40677,1687,
St. Joseph,12886,12322,563,
Sanilac,10679,9047,443,
Schoolcraft,2058,2184,93,
Shiawassee,16268,19397,750,
Tuscola,13740,13503,611,
Van Buren,15534,18588,644,
Washtenaw,53946,130578,3024,
Wayne,219582,660085,12064,
Wexford,8044,7379,318,
