2004 US Presidential Election,Bush,Kerry,Other,
Adams,7653,4281,66,
Allen,32580,16470,206,
Ashland,16209,8576,194,
Ashtabula,21038,24060,309,
Athens,10847,18998,200,
Auglaize,17016,5903,115,
Belmont,15589,17576,157,
Brown,12647,7140,105,
Butler,109872,56243,704,
Carroll,7695,6300,117,
Champaign,11718,6968,90,
Clark,34941,33535,331,
Clermont,62949,25887,243,
Clinton,12938,5417,59,
Columbiana,25753,23429,283,
Coshocton,9839,7378,86,
Crawford,13885,7773,143,
Cuyahoga,221600,448503,3674,
Darke,18306,7846,161,
Defiance,11397,6975,144,
Delaware,53143,27048,265,
Erie,18597,21421,67,
Fairfield,42715,24783,384,
Fayette,7376,4334,47,
Franklin,237253,285801,2773,
Fulton,13640,8224,90,
Gallia,8576,5366,51,
Geauga,30370,19850,222,
Greene,48388,30531,363,
Guernsey,9962,7768,110,
Hamilton,222616,199679,1730,
Hancock,25105,10352,162,
Hardin,8441,4891,60,
Harrison,4274,3780,55,
Henry,9902,5111,92,
Highland,12211,6194,76,
Hocking,6936,6175,88,
Holmes,8468,2697,55,
Huron,14817,10568,173,
Jackson,8585,5700,49,
Jefferson,17185,19024,163,
Knox,17068,9820,157,
Lake,62193,59049,581,
Lawrence,15455,12120,135,
Licking,49016,30053,351,
Logan,14471,6825,102,
Lorain,61203,78970,569,
Lucas,87160,132715,555,
Madison,11117,6203,78,
Mahoning,48761,83194,949,
Marion,17171,11930,157,
Medina,48196,36272,410,
Meigs,6272,4438,61,
Mercer,15650,5118,122,
Miami,33992,17606,162,
Monroe,3424,4243,62,
Montgomery,138371,142997,1216,
Morgan,3758,2875,70,
Morrow,10474,5775,79,
Muskingum,22254,16421,191,
Noble,3841,2654,45,
Ottawa,12073,11118,68,
Paulding,6206,3610,63,
Perry,7856,7257,76,
Pickaway,14161,8579,112,
Pike,6520,5989,67,
Portage,35583,40675,389,
Preble,13734,7274,119,
Putnam,14370,4392,87,
Richland,36872,24638,330,
Ross,17231,13978,462,
Sandusky,16224,12686,104,
Scioto,18259,16827,117,
Seneca,15886,10957,148,
Shelby,16204,6535,116,
Stark,92215,95337,907,
Summit,118558,156587,1175,
Trumbull,40977,66673,495,
Tuscarawas,23829,18853,224,
Union,15870,6665,96,
Van Wert,10678,4095,54,
Vinton,3249,2651,28,
Warren,68037,26044,341,
Washington,17532,12538,146,
Wayne,31879,19786,183,
Williams,12040,6481,118,
Wood,33592,29401,353,
Wyandot,7254,3708,81,
