2008 US Presidential Election,McCain,Obama,Other,
Aitkin,4589,4595,226,
Anoka,91357,86976,3891,
Becker,8851,7687,427,
Beltrami,9762,12019,455,
Benton,10338,8454,547,
Big Stone,1362,1552,76,
Blue Earth,14782,19325,963,
Brown,7456,5809,355,
Carlton,6549,11501,399,
Carver,28156,20654,873,
Cass,8660,7276,371,
Chippewa,2907,3280,169,
Chisago,15789,12783,733,
Clay,11978,16666,615,
Clearwater,2291,1877,93,
Cook,1240,2019,89,
Cottonwood,3157,2759,120,
Crow Wing,18567,15859,739,
Dakota,104364,116778,4330,
Dodge,5468,4463,282,
Douglas,11241,9256,421,
Faribault,4196,3736,220,
Fillmore,4993,5921,320,
Freeborn,6955,9915,410,
Goodhue,12775,12420,600,
Grant,1646,1850,109,
Hennepin,231054,420958,11768,
Houston,4743,5906,234,
Hubbard,6558,4872,208,
Isanti,11324,8248,481,
Itasca,10309,13460,626,
Jackson,2858,2618,147,
Kanabec,4479,3743,277,
Kandiyohi,11319,10125,451,
Kittson,1016,1492,60,
Koochiching,2962,3649,191,
Lac Qui Parle,1912,2160,120,
Lake,2636,4174,159,
Lake of the Woods,1278,971,64,
Le Sueur,7636,6994,379,
Lincoln,1491,1517,118,
Lyon,6315,6110,283,
McLeod,10993,7505,531,
Mahnomen,843,1436,64,
Marshall,2285,2311,143,
Martin,6053,4413,288,
Meeker,6737,5380,428,
Mille Lacs,7049,6072,423,
Morrison,9735,6547,461,
Mower,7075,11605,507,
Murray,2320,2345,148,
Nicollet,7968,9887,390,
Nobles,4368,4244,201,
Norman,1204,2129,101,
Olmsted,36202,38711,1557,
Otter Tail,18077,13856,754,
Pennington,3248,3394,180,
Pine,6862,7084,437,
Pipestone,2652,2023,126,
Polk,7148,7850,336,
Pope,3069,3317,150,
Ramsey,88942,182974,5470,
Red Lake,983,1120,88,
Redwood,4308,3250,248,
Renville,3956,3904,275,
Rice,13723,17381,695,
Rock,2775,2079,121,
Roseau,4438,3097,165,
St. Louis,38742,77351,2721,
Scott,36724,29208,1200,
Sherburne,26140,17957,893,
Sibley,4492,2998,239,
Stearns,41194,35690,1872,
Steele,10068,9016,572,
Stevens,2710,2781,143,
Swift,2184,2907,153,
Todd,6637,5277,343,
Traverse,933,1043,59,
Wabasha,5935,5646,312,
Wadena,4128,2882,159,
Waseca,5211,4401,276,
Washington,64334,70277,2448,
Watonwan,2526,2562,170,
Wilkin,1786,1550,78,
Winona,10975,16308,652,
Wright,37779,26343,1456,
Yellow Medicine,2579,2816,174,
