1996 US Presidential Election,Dole,Clinton,Perot,
Appling,2572,2070,446,
Atkinson,784,823,215,
Bacon,1580,1360,402,
Baker,408,955,105,
Baldwin,4570,5740,849,
Banks,1925,1536,595,
Barrow,5342,3928,942,
Bartow,9250,6853,1770,
Ben Hill,1516,2198,358,
Berrien,1950,2066,525,
Bibb,20778,26727,2268,
Bleckley,1632,1365,300,
Brantley,1738,1494,386,
Brooks,1738,1977,314,
Bryan,3577,2152,513,
Bulloch,6646,5396,939,
Burke,2590,3915,389,
Butts,2027,2271,416,
Calhoun,541,1217,106,
Camden,4222,3644,572,
Candler,1131,1097,264,
Carroll,11157,8438,2002,
Catoosa,8237,5185,1257,
Charlton,1374,1368,280,
Chatham,31987,35781,3028,
Chattahoochee,398,565,115,
Chattooga,2513,3003,796,
Cherokee,24527,10802,2872,
Clarke,10504,15206,1201,
Clay,293,787,62,
Clayton,20625,30687,3494,
Clinch,789,973,182,
Cobb,114188,73750,10438,
Coffee,3934,3407,711,
Colquitt,4847,4135,977,
Columbia,21291,8601,1709,
Cook,1354,1780,267,
Coweta,13058,7794,1949,
Crawford,1290,1534,270,
Crisp,2321,2504,445,
Dade,2295,1737,618,
Dawson,2343,1434,473,
Decatur,3035,3245,497,
DeKalb,60255,137903,6742,
Dodge,2478,2696,587,
Dooly,990,1951,207,
Dougherty,11144,15600,1072,
Douglas,14495,9631,2109,
Early,1374,1648,246,
Echols,335,308,97,
Effingham,5022,3031,769,
Elbert,2393,2900,552,
Emanuel,2451,2947,450,
Evans,1206,1117,204,
Fannin,3373,2741,782,
Fayette,21005,9875,2016,
Floyd,12426,10464,2345,
Forsyth,15013,5957,1889,
Franklin,2364,2338,665,
Fulton,89809,143306,7720,
Gilmer,3121,2464,725,
Glascock,532,348,128,
Glynn,12305,8058,1137,
Gordon,5232,4239,1284,
Grady,2674,2862,633,
Greene,1702,2115,173,
Gwinnett,96610,53819,10236,
Habersham,4730,3170,1149,
Hall,19280,10362,2321,
Hancock,438,2135,71,
Haralson,3260,2850,808,
Harris,3829,2779,489,
Hart,2884,3486,767,
Heard,1170,1248,406,
Henry,16968,9498,2320,
Houston,17050,12760,2730,
Irwin,1085,1225,224,
Jackson,4782,3746,899,
Jasper,1423,1553,243,
Jeff Davis,1796,1576,428,
Jefferson,2077,3404,298,
Jenkins,955,1336,166,
Johnson,815,1194,242,
Jones,3272,3195,497,
Lamar,1988,2125,409,
Lanier,519,818,160,
Laurens,6118,5792,818,
Lee,3983,2005,506,
Liberty,3042,4462,580,
Lincoln,1391,1334,208,
Long,791,936,236,
Lowndes,10578,9470,1518,
Lumpkin,2576,1949,588,
McDuffie,3254,2725,395,
McIntosh,1219,1927,293,
Macon,1006,2618,159,
Madison,3992,2571,868,
Marion,678,977,159,
Meriwether,2259,3492,480,
Miller,847,909,235,
Mitchell,2033,3165,372,
Monroe,3054,2768,488,
Montgomery,1163,1233,284,
Morgan,2118,2111,364,
Murray,3289,2861,938,
Muscogee,19360,24867,1891,
Newton,7274,6759,1258,
Oconee,5116,2992,615,
Oglethorpe,1826,1570,369,
Paulding,10152,5699,1603,
Peach,2676,3582,471,
Pickens,3041,2693,783,
Pierce,2319,1420,333,
Pike,2054,1474,357,
Polk,4130,4298,1076,
Pulaski,1196,1554,268,
Putnam,2306,2340,474,
Quitman,224,514,59,
Rabun,2213,1943,585,
Randolph,816,1438,126,
Richmond,23670,30738,2310,
Rockdale,13006,7656,1750,
Schley,470,576,123,
Screven,1862,2087,263,
Seminole,1003,1265,250,
Spalding,7376,6017,1059,
Stephens,3890,3072,979,
Stewart,525,1537,152,
Sumter,3358,4239,451,
Talbot,652,1579,111,
Taliaferro,235,615,36,
Tattnall,2518,2369,541,
Taylor,1002,1450,195,
Telfair,1143,1856,322,
Terrell,1111,1509,129,
Thomas,5649,5183,667,
Tift,5613,4198,728,
Toombs,3646,2763,602,
Towns,2030,1664,459,
Treutlen,723,912,122,
Troup,8716,5940,1090,
Turner,924,1272,246,
Twiggs,958,1927,210,
Union,2685,2175,622,
Upson,3783,3491,731,
Walker,8817,6743,1969,
Walton,7934,5618,1323,
Ware,4746,4171,636,
Warren,735,1230,83,
Washington,2348,4057,488,
Wayne,3709,2734,665,
Webster,235,529,59,
Wheeler,460,751,141,
White,2959,1864,556,
Whitfield,12368,7720,1637,
Wilcox,882,1067,171,
Wilkes,1417,1971,184,
Wilkinson,1332,2278,287,
Worth,2752,2300,521,
