1984 US Presidential Election,Reagan,Mondale,Other,
Adams,6113,3534,82,
Allen,33506,12176,229,
Ashland,14339,4786,147,
Ashtabula,21669,19344,384,
Athens,11548,10201,209,
Auglaize,14766,4102,132,
Belmont,15170,19458,228,
Brown,8221,4067,116,
Butler,76216,27700,598,
Carroll,6703,3771,110,
Champaign,9935,3544,121,
Clark,35831,21154,759,
Clermont,35316,11713,290,
Clinton,9603,3332,83,
Columbiana,24552,20155,403,
Coshocton,9842,4392,89,
Crawford,14682,4932,206,
Cuyahoga,284094,362626,4913,
Darke,16379,5904,211,
Defiance,10951,5004,175,
Delaware,19050,5773,166,
Erie,19174,13508,472,
Fairfield,30843,9817,373,
Fayette,6838,2126,57,
Franklin,250360,131530,8584,
Fulton,11412,4217,101,
Gallia,8194,4251,109,
Geauga,22369,9954,431,
Greene,34267,17129,316,
Guernsey,10252,4967,125,
Hamilton,246288,140350,2177,
Hancock,22169,5758,370,
Hardin,8722,3813,85,
Harrison,4276,3370,66,
Henry,9317,2779,77,
Highland,9000,3784,91,
Hocking,6071,3280,112,
Holmes,5146,1737,61,
Huron,14388,6609,174,
Jackson,7411,4369,128,
Jefferson,17105,22832,340,
Knox,14062,5730,109,
Lake,54587,36711,1027,
Lawrence,14793,11431,213,
Licking,37560,13995,421,
Logan,12230,3645,104,
Lorain,57379,52970,2672,
Lucas,100285,97293,1976,
Madison,8979,2928,80,
Mahoning,53424,76514,1500,
Marion,17392,8827,224,
Medina,30690,15897,357,
Meigs,6307,3549,73,
Mercer,11542,4422,180,
Miami,26300,9695,320,
Monroe,3302,3611,65,
Montgomery,137053,94016,1333,
Morgan,3994,1868,41,
Morrow,8116,2839,87,
Muskingum,21821,10037,243,
Noble,3853,1777,61,
Ottawa,10920,7053,102,
Paulding,5545,2811,83,
Perry,7548,3961,88,
Pickaway,11942,4110,108,
Pike,6318,4895,89,
Portage,29536,21719,432,
Preble,11065,4198,140,
Putnam,11936,3194,121,
Richland,35299,16141,396,
Ross,17015,8020,513,
Sandusky,17214,8564,242,
Scioto,18818,14120,281,
Seneca,16520,7905,217,
Shelby,13509,4315,159,
Stark,98434,65157,1325,
Summit,115637,109569,1574,
Trumbull,45623,56902,734,
Tuscarawas,19366,13149,239,
Union,9336,2579,86,
Van Wert,9570,3338,80,
Vinton,3041,1990,54,
Warren,29848,9031,191,
Washington,16529,7920,544,
Wayne,24475,11323,305,
Williams,10804,3624,150,
Wood,29750,15907,297,
Wyandot,7204,2342,84,
