1996 US Presidential Election,Dole,Clinton,Perot,
Bernalillo,78832,88140,8708,
Catron,923,423,114,
Chaves,9991,7014,1271,
Cibola,2245,4030,488,
Colfax,1975,2659,411,
Curry,7378,4116,842,
De Baca,489,509,86,
Dona Ana,17541,22766,2269,
Eddy,8534,8959,1297,
Grant,3993,5860,778,
Guadalupe,436,1208,79,
Harding,321,264,28,
Hidalgo,789,943,209,
Lea,7661,5393,1465,
Lincoln,3396,2209,666,
Los Alamos,4999,3983,560,
Luna,2616,3001,598,
McKinley,4470,10124,650,
Mora,561,1646,131,
Otero,9065,5938,1096,
Quay,1943,1830,377,
Rio Arriba,2551,7965,469,
Roosevelt,3245,2097,467,
Sandoval,11015,13081,1482,
San Juan,17478,12070,2355,
San Miguel,1938,6995,405,
Santa Fe,10857,26349,1846,
Sierra,2140,2154,431,
Socorro,2315,3374,455,
Taos,2126,6635,545,
Torrance,2154,2072,332,
Union,995,519,125,
Valencia,7779,9169,1222,
