1992 US Presidential Election,Bush,Clinton,Perot,
Adams,30856,45357,26379,
Alamosa,1572,1928,1089,
Arapahoe,72221,66607,44363,
Archuleta,1242,819,741,
Baca,1240,726,647,
Bent,759,985,506,
Boulder,33553,64567,27762,
Chaffee,2419,2284,1549,
Cheyenne,615,301,292,
Clear Creek,1356,1744,1308,
Conejos,1160,1705,578,
Costilla,366,1180,199,
Crowley,602,570,276,
Custer,651,343,368,
Delta,4359,3424,2627,
Denver,55418,121961,37298,
Dolores,315,242,285,
Douglas,18592,9991,11329,
Eagle,3100,3870,3821,
Elbert,2205,1237,1567,
El Paso,86044,45827,34346,
Fremont,5961,5356,3709,
Garfield,4404,5082,4408,
Gilpin,462,726,545,
Grand,1763,1678,1454,
Gunnison,1662,2389,1671,
Hinsdale,188,151,136,
Huerfano,685,1224,385,
Jackson,422,216,326,
Jefferson,82705,80834,58404,
Kiowa,472,290,267,
Kit Carson,1801,925,919,
Lake,605,1426,863,
La Plata,5522,5913,4083,
Larimer,35995,38232,24879,
Las Animas,1739,3847,953,
Lincoln,1079,640,581,
Logan,3420,2718,2184,
Mesa,18169,15162,10474,
Mineral,159,171,117,
Moffat,1809,1386,1875,
Montezuma,3124,2270,2205,
Montrose,4847,3713,3093,
Morgan,3724,2985,2175,
Otero,3120,3485,1590,
Ouray,653,461,466,
Park,1530,1307,1396,
Phillips,1075,692,525,
Pitkin,1686,3820,1907,
Prowers,2371,1770,1184,
Pueblo,16120,30261,9841,
Rio Blanco,1231,778,794,
Rio Grande,1927,1541,1043,
Routt,2358,3188,2564,
Saguache,675,1011,471,
San Juan,118,147,183,
San Miguel,628,1380,634,
Sedgwick,447,397,295,
Summit,2256,3344,2715,
Teller,3050,1873,1927,
Washington,1266,660,671,
Weld,20958,19295,13571,
Yuma,2019,1269,1197,
