1980 US Presidential Election,Reagan,Carter,Anderson,
Adair,2821,1454,356,
Adams,1779,940,214,
Allamakee,4000,2170,343,
Appanoose,3544,2769,353,
Audubon,2523,1546,251,
Benton,5329,4223,948,
Black Hawk,29627,27443,5847,
Boone,5732,5126,1081,
Bremer,6706,3527,970,
Buchanan,5041,3605,689,
Buena Vista,5272,3468,771,
Butler,4730,1990,392,
Calhoun,3633,2150,407,
Carroll,5017,3885,736,
Cass,5391,2176,475,
Cedar,4398,2589,697,
Cerro Gordo,11189,9363,2024,
Cherokee,4087,2719,599,
Chickasaw,3929,2935,500,
Clarke,2417,1614,310,
Clay,4479,3179,991,
Clayton,5115,3297,669,
Clinton,13025,9698,2140,
Crawford,4883,2500,509,
Dallas,6296,5310,1200,
Davis,2003,1689,200,
Decatur,2212,2048,318,
Delaware,4316,2671,727,
Des Moines,9158,9977,1041,
Dickinson,4028,2620,687,
Dubuque,18649,18689,3708,
Emmet,3062,2153,446,
Fayette,6374,4377,647,
Floyd,4665,3634,728,
Franklin,3290,1920,406,
Fremont,2693,1203,191,
Greene,3154,2210,510,
Grundy,4644,1869,440,
Guthrie,3214,1866,384,
Hamilton,4745,2741,679,
Hancock,3681,1918,462,
Hardin,5329,3757,730,
Harrison,4502,2152,311,
Henry,4430,3317,629,
Howard,2975,2214,336,
Humboldt,3575,1840,394,
Ida,2825,1235,254,
Iowa,4153,2606,667,
Jackson,4479,3518,622,
Jasper,8286,7258,1221,
Jefferson,4099,2577,505,
Johnson,13642,20122,8101,
Jones,4506,3521,759,
Keokuk,3145,2390,369,
Kossuth,5568,3810,775,
Lee,8793,8204,1047,
Linn,36254,31950,8773,
Louisa,2530,1700,291,
Lucas,2593,1989,291,
Lyon,4349,1431,375,
Madison,3320,2496,505,
Mahaska,5650,3968,603,
Marion,6665,5490,1232,
Marshall,10707,7114,1541,
Mills,3581,1244,281,
Mitchell,3401,2040,361,
Monona,3268,1660,275,
Monroe,2003,1866,216,
Montgomery,4115,1556,301,
Muscatine,7829,5597,1522,
O'Brien,4937,2210,536,
Osceola,2177,1051,234,
Page,5618,1772,356,
Palo Alto,3025,2463,412,
Plymouth,6515,2965,756,
Pocahontas,3194,1959,397,
Polk,64156,61984,15819,
Pottawattamie,20222,10709,1870,
Poweshiek,4598,3529,821,
Ringgold,1884,1150,191,
Sac,3725,1976,467,
Scott,34701,26391,5760,
Shelby,4147,1892,372,
Sioux,10768,2698,610,
Story,15829,13529,7252,
Tama,4840,3049,593,
Taylor,2715,1226,240,
Union,3372,2182,368,
Van Buren,2142,1311,183,
Wapello,7475,8923,1050,
Warren,7360,6610,1369,
Washington,3967,2877,703,
Wayne,2221,1627,218,
Webster,10438,9001,1386,
Winnebago,3808,2208,417,
Winneshiek,5033,3201,938,
Woodbury,23553,15930,3184,
Worth,2247,1721,301,
Wright,3936,2645,497,
