1968 US Presidential Election,Nixon,Humphrey,Wallace,
Alcona,1852,958,338,
Alger,1406,1927,173,
Allegan,14769,7276,2389,
Alpena,5717,4788,747,
Antrim,3002,1690,374,
Arenac,2089,1573,324,
Baraga,1508,1680,116,
Barry,8492,5206,1674,
Bay,18779,21410,2291,
Benzie,2138,1147,219,
Berrien,32136,21266,9333,
Branch,7071,4518,1037,
Calhoun,26181,22633,5944,
Cass,6996,5616,2257,
Charlevoix,3696,2446,556,
Cheboygan,3422,2840,634,
Chippewa,5359,4132,793,
Clare,3315,1909,602,
Clinton,9416,5548,1591,
Crawford,1266,845,187,
Delta,5829,7821,700,
Dickinson,4920,5726,533,
Eaton,14184,8347,2252,
Emmet,4405,2624,446,
Genesee,63948,75174,24539,
Gladwin,2840,1668,511,
Gogebic,4140,5839,434,
Grand Traverse,8960,4741,843,
Gratiot,8404,4040,949,
Hillsdale,8506,3803,1107,
Houghton,6639,6988,473,
Huron,8743,3607,1178,
Ingham,46805,37362,6432,
Ionia,8625,6055,1261,
Iosco,4068,2533,736,
Iron,3292,4130,340,
Isabella,7111,4450,808,
Jackson,27828,18205,5689,
Kalamazoo,39796,26437,7398,
Kalkaska,1190,753,288,
Kent,85810,61891,11584,
Keweenaw,525,602,65,
Lake,1094,1482,220,
Lapeer,8866,5199,2081,
Leelanau,2798,1562,292,
Lenawee,16280,10552,2197,
Livingston,10034,7052,2543,
Luce,1351,855,109,
Mackinac,2507,1751,317,
Macomb,63139,114552,29239,
Manistee,4007,3671,614,
Marquette,8960,11199,802,
Mason,5311,3660,854,
Mecosta,5053,2738,625,
Menominee,4599,4877,620,
Midland,14329,7428,1849,
Missaukee,2161,736,292,
Monroe,15685,18921,4873,
Montcalm,8329,5303,1244,
Montmorency,1279,810,260,
Muskegon,28233,24492,5808,
Newaygo,6626,3369,1042,
Oakland,156538,154630,33024,
Oceana,3911,2152,876,
Ogemaw,2526,1647,454,
Ontonagon,2290,2462,252,
Osceola,3705,1509,583,
Oscoda,1124,563,157,
Otsego,1871,1661,259,
Ottawa,33356,12431,3460,
Presque Isle,2565,2300,385,
Roscommon,2635,1639,431,
Saginaw,38070,32266,6906,
St. Clair,21084,16251,5261,
St. Joseph,10445,5413,1759,
Sanilac,9273,3193,1692,
Schoolcraft,1745,1869,227,
Shiawassee,11465,8619,2377,
Tuscola,10205,4698,1682,
Van Buren,10676,7304,2560,
Washtenaw,36432,33073,7456,
Wayne,270566,654157,105606,
Wexford,4364,2832,535,
