1992 US Presidential Election,Bush,Clinton,Perot,
Adair,3740,2044,617,
Allen,2747,2040,606,
Anderson,2731,2491,1219,
Ballard,1108,2268,500,
Barren,5467,5688,1778,
Bath,1259,2229,694,
Bell,4501,5745,1193,
Boone,12306,6514,4676,
Bourbon,2707,2895,1290,
Boyd,7387,10496,3195,
Boyle,4019,3894,1335,
Bracken,1162,1259,500,
Breathitt,1303,3496,515,
Breckinridge,2941,3113,945,
Bullitt,7745,7830,3333,
Butler,2729,1468,596,
Caldwell,1966,3000,670,
Calloway,4654,6181,1853,
Campbell,16382,10673,5659,
Carlisle,844,1383,309,
Carroll,1046,2119,566,
Carter,3305,4224,989,
Casey,3317,1409,542,
Christian,7737,6709,1789,
Clark,4625,4892,1955,
Clay,4747,2012,648,
Clinton,2830,1241,348,
Crittenden,1576,1740,495,
Cumberland,1866,917,268,
Daviess,14936,16592,5112,
Edmonson,2486,1653,438,
Elliott,444,1796,273,
Estill,2453,1837,736,
Fayette,41908,38306,14215,
Fleming,2045,2257,815,
Floyd,3540,13351,1723,
Franklin,7591,9896,3340,
Fulton,1073,1813,306,
Gallatin,699,1171,445,
Garrard,2359,1730,697,
Grant,2128,2097,1149,
Graves,5311,8001,1943,
Grayson,4533,2909,993,
Green,2709,1760,500,
Greenup,4975,7214,2188,
Hancock,1261,1714,551,
Hardin,12299,9417,4026,
Harlan,3970,6796,1391,
Harrison,2148,2795,1225,
Hart,2401,2852,579,
Henderson,5125,8270,2678,
Henry,1640,2838,720,
Hickman,861,1296,294,
Hopkins,6032,8881,2565,
Jackson,3398,776,341,
Jefferson,116566,152728,39822,
Jessamine,6474,3764,2059,
Johnson,3614,3669,1118,
Kenton,27261,16344,9336,
Knott,1243,5500,560,
Knox,5011,3787,972,
Larue,2154,2190,582,
Laurel,8583,4560,1859,
Lawrence,2084,2400,557,
Lee,1617,1170,356,
Leslie,2879,1591,450,
Letcher,3011,5817,1206,
Lewis,2493,1713,673,
Lincoln,2624,2532,762,
Livingston,1339,2386,578,
Logan,3710,4064,1043,
Lyon,820,1583,293,
McCracken,10657,13341,3077,
McCreary,3588,1934,624,
McLean,1355,2223,529,
Madison,8719,8005,3038,
Magoffin,1992,3261,440,
Marion,2091,3403,805,
Marshall,4368,6576,1773,
Martin,1961,1715,393,
Mason,2432,2657,916,
Meade,2641,3387,1298,
Menifee,557,1311,254,
Mercer,3211,3010,1298,
Metcalfe,1683,1703,409,
Monroe,3776,1515,480,
Montgomery,2590,3686,1308,
Morgan,1239,2655,498,
Muhlenberg,3551,7901,1624,
Nelson,4495,5437,1638,
Nicholas,894,1341,513,
Ohio,3385,4022,1423,
Oldham,8263,5457,2855,
Owen,1108,1830,613,
Owsley,1437,678,209,
Pendleton,1810,1740,1086,
Perry,4128,6619,1308,
Pike,8212,17358,2444,
Powell,1809,2323,874,
Pulaski,11423,5465,2449,
Robertson,329,439,170,
Rockcastle,3287,1144,446,
Rowan,2469,3558,1212,
Russell,4641,1950,673,
Scott,3810,3639,1800,
Shelby,4550,4398,1451,
Simpson,2280,2834,708,
Spencer,1305,1383,466,
Taylor,4319,3518,1044,
Todd,1691,1858,612,
Trigg,1820,2438,573,
Trimble,789,1413,413,
Union,1605,3325,794,
Warren,14748,11529,3533,
Washington,2098,2008,542,
Wayne,3412,2516,560,
Webster,1408,3380,854,
Whitley,5998,4600,1533,
Wolfe,697,1674,297,
Woodford,3992,3161,1535,
