1976 US Presidential Election,Ford,Carter,Other,
Alcona,2328,2038,37,
Alger,1722,2379,60,
Allegan,19330,9794,347,
Alpena,6380,6310,176,
Antrim,4369,3032,117,
Arenac,2687,2695,41,
Baraga,1788,1778,48,
Barry,11178,6967,243,
Bay,23174,25958,557,
Benzie,3085,1891,62,
Berrien,40835,25163,800,
Branch,8251,6301,250,
Calhoun,30390,25229,901,
Cass,9893,7843,203,
Charlevoix,5145,3953,160,
Cheboygan,4894,3880,104,
Chippewa,7025,6022,128,
Clare,4879,4153,94,
Clinton,13475,7549,329,
Crawford,2359,1889,55,
Delta,7809,9027,197,
Dickinson,5922,6134,121,
Eaton,22120,12083,547,
Emmet,5910,4013,181,
Genesee,80004,88967,2467,
Gladwin,3794,3719,54,
Gogebic,3953,6341,98,
Grand Traverse,13505,7263,382,
Gratiot,9526,5429,163,
Hillsdale,9307,5427,221,
Houghton,8049,7352,199,
Huron,9297,5721,158,
Ingham,66729,47890,4708,
Ionia,11737,6820,234,
Iosco,5500,4875,123,
Iron,3224,4401,93,
Isabella,10577,7281,487,
Jackson,32873,24726,858,
Kalamazoo,51462,33411,2212,
Kalkaska,2280,1957,54,
Kent,126805,59000,2828,
Keweenaw,606,658,7,
Lake,1598,2179,31,
Lapeer,12349,9503,363,
Leelanau,4240,2437,126,
Lenawee,18397,14610,428,
Livingston,19437,12415,634,
Luce,1379,1099,17,
Mackinac,3107,2452,68,
Macomb,132499,121176,4928,
Manistee,5532,4479,123,
Marquette,12984,12837,494,
Mason,6812,4541,163,
Mecosta,7287,4725,209,
Menominee,5633,5596,128,
Midland,17631,11959,511,
Missaukee,2943,1688,50,
Monroe,20676,23290,631,
Montcalm,10439,6684,171,
Montmorency,1882,1684,51,
Muskegon,35548,27013,846,
Newaygo,8258,5622,170,
Oakland,244271,164266,7668,
Oceana,5236,3427,135,
Ogemaw,3212,3545,67,
Ontonagon,2462,3104,41,
Osceola,4467,2603,108,
Oscoda,1541,1108,28,
Otsego,3155,2724,73,
Ottawa,49196,16381,793,
Presque Isle,3545,3334,69,
Roscommon,4608,3691,102,
Saginaw,46765,36280,1026,
St. Clair,26311,22734,844,
St. Joseph,11784,7306,205,
Sanilac,10597,6042,217,
Schoolcraft,1933,2158,63,
Shiawassee,15113,12202,406,
Tuscola,12059,7932,153,
Van Buren,13615,10366,321,
Washtenaw,56807,50917,3965,
Wayne,348588,548767,15635,
Wexford,5670,4519,128,
