2008 US Presidential Election,McCain,Obama,Other,
Adams,3974,5806,206,
Ashland,2634,5818,122,
Barron,10457,12078,351,
Bayfield,3365,5972,131,
Brown,55854,67269,1631,
Buffalo,2923,3949,128,
Burnett,4200,4337,151,
Calumet,12722,13295,457,
Chippewa,13492,16239,500,
Clark,6383,7454,350,
Columbia,12193,16661,418,
Crawford,2830,4987,164,
Dane,73065,205984,3890,
Dodge,23015,19183,625,
Door,7112,10142,227,
Douglas,7835,15830,401,
Dunn,9566,13002,421,
Eau Claire,20959,33146,905,
Florence,1512,1134,39,
Fond du Lac,28164,23463,696,
Forest,1963,2673,47,
Grant,9068,14875,377,
Green,6730,11502,302,
Green Lake,5393,4000,143,
Iowa,3829,7987,153,
Iron,1464,1914,54,
Jackson,3552,5572,127,
Jefferson,21096,21448,622,
Juneau,5148,6186,196,
Kenosha,31609,45836,1344,
Kewaunee,4711,5902,174,
La Crosse,23701,38524,993,
Lafayette,2984,4732,115,
Langlade,5081,5182,139,
Lincoln,6519,8424,325,
Manitowoc,19234,22428,752,
Marathon,30345,36367,1228,
Marinette,9726,11195,334,
Marquette,3654,4068,124,
Menominee,185,1257,6,
Milwaukee,149445,319819,5928,
Monroe,8666,10198,288,
Oconto,8755,9927,286,
Oneida,9630,11907,390,
Outagamie,39677,50294,1592,
Ozaukee,32172,20579,614,
Pepin,1616,2102,53,
Pierce,9812,11803,492,
Polk,11282,10876,485,
Portage,13810,24817,795,
Price,3461,4559,174,
Racine,45954,53408,1280,
Richland,3298,5041,111,
Rock,27364,50529,1276,
Rusk,3253,3855,164,
St. Croix,22837,21177,807,
Sauk,11562,18617,447,
Sawyer,4199,4765,121,
Shawano,9538,10259,292,
Sheboygan,30801,30395,911,
Taylor,4586,4563,197,
Trempealeau,4808,8321,185,
Vernon,5367,8463,245,
Vilas,7055,6491,204,
Walworth,25485,24177,760,
Washburn,4303,4693,116,
Washington,47729,25719,963,
Waukesha,145152,85339,2406,
Waupaca,12232,12952,327,
Waushara,5770,5868,211,
Winnebago,37946,48167,1564,
Wood,16581,21710,761,
