2012 US Presidential Election,Romney,Obama,Other,
Adams,6865,3976,277,
Allen,29502,17914,925,
Ashland,15519,8281,540,
Ashtabula,18298,23803,1099,
Athens,8543,18307,878,
Auglaize,17169,5831,447,
Belmont,16758,14156,774,
Brown,11916,7107,369,
Butler,105176,62388,2966,
Carroll,7315,5543,426,
Champaign,11045,7044,379,
Clark,31820,31297,1184,
Clermont,64208,30458,1859,
Clinton,12009,5791,383,
Columbiana,25251,19821,1127,
Coshocton,8390,6940,454,
Crawford,11852,7507,488,
Cuyahoga,190660,447273,7329,
Darke,18108,6826,496,
Defiance,10176,7732,431,
Delaware,60194,37292,1413,
Erie,16952,21793,755,
Fairfield,41034,29890,1296,
Fayette,6620,4249,169,
Franklin,215997,346373,9818,
Fulton,11738,9073,499,
Gallia,7750,4557,315,
Geauga,30589,19659,865,
Greene,49819,32256,1551,
Guernsey,8993,7450,406,
Hamilton,193326,219927,5641,
Hancock,22443,12564,776,
Hardin,7489,4619,362,
Harrison,4019,2950,184,
Henry,8257,5658,342,
Highland,11413,6054,412,
Hocking,6285,6157,326,
Holmes,8702,2608,257,
Huron,13060,11006,645,
Jackson,7904,5166,334,
Jefferson,17034,15385,758,
Knox,17266,10470,727,
Lake,58744,57680,2241,
Lawrence,14651,10744,537,
Licking,45503,34201,1846,
Logan,13633,7062,504,
Lorain,59405,81464,2383,
Lucas,69940,136616,4065,
Madison,10342,6845,370,
Mahoning,42641,77059,1884,
Marion,14265,12504,649,
Medina,50418,38785,1728,
Meigs,5895,4027,296,
Mercer,16561,4745,370,
Miami,34606,16383,1025,
Monroe,3548,3035,199,
Montgomery,124841,137139,4727,
Morgan,3179,2814,143,
Morrow,9865,5933,419,
Muskingum,19264,17002,913,
Noble,3563,2131,197,
Ottawa,10538,11503,464,
Paulding,5354,3538,258,
Perry,7627,7033,360,
Pickaway,14037,9684,433,
Pike,5685,5684,227,
Portage,35242,39453,1689,
Preble,13535,6211,479,
Putnam,13721,4318,361,
Richland,33867,22687,1252,
Ross,15008,14569,583,
Sandusky,13755,14541,799,
Scioto,15492,15077,693,
Seneca,13243,11353,747,
Shelby,17142,6343,418,
Stark,88581,89432,3733,
Summit,111001,153041,4316,
Trumbull,38279,61672,2012,
Tuscarawas,22242,18407,1044,
Union,16289,8805,529,
Van Wert,9585,4029,284,
Vinton,2856,2436,198,
Warren,76564,32909,1724,
Washington,17284,11651,667,
Wayne,30251,19808,1106,
Williams,10047,7266,393,
Wood,29704,32802,1553,
Wyandot,6180,4137,285,
