1968 US Presidential Election,Nixon,Humphrey,Wallace,
Adams,5774,4667,762,
Allen,59211,40411,9121,
Bartholomew,13628,8268,2438,
Benton,3326,1854,400,
Blackford,3052,2898,534,
Boone,7905,4118,1346,
Brown,1881,1327,587,
Carroll,4796,2816,918,
Cass,9441,7142,1678,
Clark,10305,11493,4982,
Clay,5743,3956,1569,
Clinton,7929,5714,1033,
Crawford,2132,1536,589,
Daviess,7036,4071,1274,
Dearborn,6208,4842,1704,
Decatur,5474,3602,731,
DeKalb,7650,4790,931,
Delaware,23554,19532,6349,
Dubois,5865,6725,958,
Elkhart,24484,14222,3440,
Fayette,5286,4549,1413,
Floyd,9714,10671,3266,
Fountain,5110,3237,1280,
Franklin,3468,2386,775,
Fulton,5145,2561,757,
Gibson,7645,6777,1497,
Grant,16170,10938,3602,
Greene,6525,5493,1419,
Hamilton,14250,4586,2202,
Hancock,7516,3902,1896,
Harrison,4410,3725,1557,
Hendricks,12597,5155,3231,
Henry,11626,8045,2366,
Howard,15905,11026,4507,
Huntington,9002,6238,1250,
Jackson,7710,5140,1891,
Jasper,4996,2201,1003,
Jay,5460,4290,918,
Jefferson,5731,4635,1196,
Jennings,4416,2996,1214,
Johnson,12089,5946,3021,
Knox,8369,7297,2053,
Kosciusko,12633,5342,1700,
LaGrange,3328,1691,380,
Lake,77911,99897,35099,
LaPorte,20295,15780,4587,
Lawrence,8830,5349,1995,
Madison,28726,23886,6613,
Marion,162503,115715,32043,
Marshall,9290,5385,1685,
Martin,2512,2315,604,
Miami,7295,5019,1294,
Monroe,13752,10789,2361,
Montgomery,9085,4752,1309,
Morgan,8944,4042,3122,
Newton,3145,1453,483,
Noble,6699,5075,1253,
Ohio,1053,991,243,
Orange,4666,2918,915,
Owen,2898,1932,776,
Parke,3738,2472,907,
Perry,4211,4343,547,
Pike,3087,2953,745,
Porter,17328,8914,6126,
Posey,5045,3889,1204,
Pulaski,3361,2071,681,
Putnam,5873,3692,1826,
Randolph,7238,3962,1431,
Ripley,5389,3787,1215,
Rush,5004,2636,761,
St. Joseph,47114,47414,11948,
Scott,2671,2796,784,
Shelby,8574,5417,2205,
Spencer,4603,3767,612,
Starke,4011,3208,1097,
Steuben,4762,2268,577,
Sullivan,4266,4453,1135,
Switzerland,1515,1466,452,
Tippecanoe,24352,14528,2000,
Tipton,4270,2646,861,
Union,1691,920,404,
Vanderburgh,38231,31326,7737,
Vermillion,3607,3845,1175,
Vigo,20814,20328,5386,
Wabash,8611,4598,836,
Warren,2475,1375,483,
Warrick,5742,4784,1503,
Washington,3891,2936,1143,
Wayne,17335,10686,4240,
Wells,5361,3827,882,
White,5932,3395,965,
Whitley,5684,3848,1120,
