1988 US Presidential Election,Bush,Dukakis,Other,
District 1,4564,3167,279,
District 2,2274,1879,189,
District 3,2313,1884,158,
District 4,5963,6057,365,
District 5,6874,3696,802,
District 6,2347,1543,170,
District 7,3806,2088,292,
District 8,7629,3815,334,
District 9,6876,3980,339,
District 10,6241,3786,334,
District 11,3189,2590,243,
District 12,3511,3733,262,
District 13,4968,2643,266,
District 14,6164,3387,278,
District 15,8949,3726,410,
District 16,8851,4174,791,
District 17,3093,1302,286,
District 18,5998,1674,329,
District 19,4485,2737,467,
District 20,5225,3389,500,
District 21,3127,2816,339,
District 22,1861,1377,153,
District 23,1898,1390,125,
District 24,1818,1381,164,
District 25,1611,1430,104,
District 26,2959,1568,147,
District 27,2657,1372,155,
