1996 US Presidential Election,Dole,Clinton,Perot,
Atlantic,29538,44434,8261,
Bergen,141164,191085,25512,
Burlington,57337,85086,18407,
Camden,52791,114962,17433,
Cape May,19357,19849,4978,
Cumberland,14744,25444,5348,
Essex,65162,175368,9513,
Gloucester,32116,51915,14361,
Hudson,38288,116121,8965,
Hunterdon,26379,18446,5686,
Mercer,40559,77641,10536,
Middlesex,82433,145201,24643,
Monmouth,99975,120414,22754,
Morris,95830,81092,15299,
Ocean,82830,94243,22864,
Passaic,53594,85879,10944,
Salem,9294,12044,4124,
Somerset,51869,50673,8377,
Sussex,26746,19525,6705,
Union,65912,108102,12432,
Warren,17160,14805,4992,
