1992 US Presidential Election,Bush,Clinton,Perot,
Adams,2465,3539,2003,
Ashland,2372,4213,1746,
Barron,6572,8063,5479,
Bayfield,2393,3873,1786,
Brown,42352,37513,22395,
Buffalo,2029,2996,1889,
Burnett,2340,3172,1855,
Calumet,7541,5701,5055,
Chippewa,8215,10487,6408,
Clark,4977,5540,4284,
Columbia,9099,9348,5439,
Crawford,2390,3540,1797,
Dane,61957,114724,31874,
Dodge,14971,11438,9136,
Door,5468,4735,3506,
Douglas,5679,12319,4150,
Dunn,5283,7965,4809,
Eau Claire,15915,21221,9783,
Florence,942,978,719,
Fond du Lac,19785,13757,10660,
Forest,1393,1904,1062,
Grant,7678,8914,6405,
Green,4887,5467,3735,
Green Lake,3897,2772,2827,
Iowa,3288,4467,2341,
Iron,1273,1762,835,
Jackson,2644,3681,2040,
Jefferson,13072,11593,7960,
Juneau,4051,4177,2670,
Kenosha,19854,27341,14232,
Kewaunee,3570,4050,2700,
La Crosse,18891,22838,10224,
Lafayette,2582,3143,2079,
Langlade,3890,3630,2444,
Lincoln,4321,5297,3605,
Manitowoc,14008,15903,11179,
Marathon,20948,21482,14600,
Marinette,7984,7626,5412,
Marquette,2322,2533,1818,
Menominee,244,691,221,
Milwaukee,151314,235521,76039,
Monroe,6118,6427,4183,
Oconto,5720,5898,4405,
Oneida,6725,7160,4782,
Outagamie,30370,23735,18479,
Ozaukee,22805,11879,8002,
Pepin,1098,1673,781,
Pierce,4844,7824,4492,
Polk,5446,7746,4753,
Portage,10914,15553,7083,
Price,2654,3575,2286,
Racine,32310,34875,20227,
Richland,3144,3458,1899,
Rock,21942,31154,15700,
Rusk,2430,3376,2085,
St. Croix,8114,10281,7125,
Sauk,8886,9128,5280,
Sawyer,2658,2796,1861,
Shawano,7253,6062,4540,
Sheboygan,22526,20568,11295,
Taylor,3415,3305,2590,
Trempealeau,3577,6218,3160,
Vernon,4072,5673,2890,
Vilas,4616,3764,2827,
Walworth,15727,11825,9029,
Washburn,2586,3080,1978,
Washington,22739,13339,13045,
Waukesha,91461,50270,36622,
Waupaca,10252,6666,6088,
Waushara,4045,3402,2829,
Winnebago,33709,27234,16140,
Wood,13843,13208,8822,
