2000 US Presidential Election,Bush,Gore,Nader,
District 1,4681,1284,475,
District 2,4235,2081,846,
District 3,3135,3693,1161,
District 4,4127,2715,768,
District 5,3545,1931,751,
District 6,3862,1542,494,
District 7,4868,1893,1563,
District 8,5371,1498,809,
District 9,4789,1203,478,
District 10,5673,2194,803,
District 11,3960,2043,743,
District 12,4626,2051,691,
District 13,3853,2661,1230,
District 14,3750,1626,342,
District 15,2453,2106,1068,
District 16,1980,1969,530,
District 17,4564,2230,641,
District 18,5421,2739,1484,
District 19,4619,2350,728,
District 20,3648,2259,839,
District 21,3263,2309,810,
District 22,4910,2656,697,
District 23,2961,1282,283,
District 24,5063,1985,631,
District 25,5489,1697,743,
District 26,5869,1608,715,
District 27,6714,2199,1014,
District 28,7113,2116,1100,
District 29,4054,2806,1628,
District 30,3622,1698,538,
District 31,3326,1831,535,
District 32,4178,1389,285,
District 33,5804,1765,789,
District 34,5243,1300,407,
District 35,4278,1208,588,
District 36,3007,1945,383,
District 37,2725,1821,255,
District 38,2467,2015,267,
District 39,2321,2282,383,
District 40,1831,1024,252,
