2000 US Presidential Election,Bush,Gore,Nader,
Alcona,3152,2696,124,
Alger,2142,2071,126,
Allegan,28197,15495,930,
Alpena,6769,7053,262,
Antrim,6780,4329,312,
Arenac,3421,3685,117,
Baraga,1836,1400,141,
Barry,15716,9769,612,
Bay,22150,28251,972,
Benzie,4172,3546,312,
Berrien,35689,28152,1154,
Branch,8743,6691,279,
Calhoun,26291,27312,1176,
Cass,10545,8808,371,
Charlevoix,7018,4958,424,
Cheboygan,6815,5484,257,
Chippewa,7526,6370,361,
Clare,5937,6287,262,
Clinton,18054,13394,602,
Crawford,3345,2790,176,
Delta,8871,7970,390,
Dickinson,6932,5533,301,
Eaton,24803,23211,989,
Emmet,8602,5451,534,
Genesee,66641,119833,3623,
Gladwin,5743,5573,227,
Gogebic,3929,4066,285,
Grand Traverse,22358,14371,1263,
Gratiot,8312,6538,265,
Hillsdale,10483,6495,363,
Houghton,7895,5688,518,
Huron,8911,6899,230,
Ingham,47314,69231,3290,
Ionia,13915,9481,423,
Iosco,6345,6505,308,
Iron,2967,3014,160,
Isabella,10053,10228,666,
Jackson,32066,28160,1329,
Kalamazoo,48254,48807,3086,
Kalkaska,3842,2774,173,
Kent,148602,95442,5019,
Keweenaw,740,540,53,
Lake,1961,2584,110,
Lapeer,20351,15749,794,
Leelanau,6840,4635,456,
Lenawee,20681,18365,760,
Livingston,44637,28780,1498,
Luce,1480,956,74,
Mackinac,3272,2533,136,
Macomb,164265,172625,6145,
Manistee,5401,5639,320,
Marquette,12577,15503,936,
Mason,7066,5579,301,
Mecosta,8072,6300,325,
Menominee,5529,4597,269,
Midland,21887,15959,794,
Missaukee,4274,2062,123,
Monroe,28940,31555,996,
Montcalm,12696,9627,483,
Montmorency,2750,2139,92,
Muskegon,30028,37865,1131,
Newaygo,11399,7677,361,
Oakland,274319,281201,10382,
Oceana,5913,4597,211,
Ogemaw,4706,4896,191,
Ontonagon,2472,1514,135,
Osceola,5680,4006,186,
Oscoda,2207,1677,88,
Otsego,6108,4034,315,
Ottawa,78703,29600,1866,
Presque Isle,3660,3242,136,
Roscommon,6190,6433,256,
Saginaw,41152,50825,1418,
St. Clair,33571,33002,1341,
St. Joseph,12906,8574,434,
Sanilac,10966,7153,320,
Schoolcraft,2088,2036,56,
Shiawassee,15816,15520,639,
Tuscola,13213,10845,454,
Van Buren,14792,13796,686,
Washtenaw,52459,86647,4843,
Wayne,223021,530414,11287,
Wexford,7215,5326,352,
