1996 US Presidential Election,Dole,Clinton,Perot,
Adams,4763,4317,1223,
Allen,24325,15529,3799,
Ashland,10402,6573,2630,
Ashtabula,13287,19341,5700,
Athens,7154,13418,2777,
Auglaize,10169,6652,2641,
Belmont,8213,17705,4452,
Brown,6970,6318,1941,
Butler,67023,43690,10540,
Carroll,4449,4792,2445,
Champaign,6568,5990,2219,
Clark,22297,27890,7083,
Clermont,36457,21329,5795,
Clinton,7504,5303,1588,
Columbiana,15386,20716,7127,
Coshocton,6018,6005,2183,
Crawford,8730,7449,3072,
Cuyahoga,163770,341357,50691,
Darke,10798,8871,3168,
Defiance,7469,6343,1929,
Delaware,24123,13463,3471,
Erie,12204,16730,4225,
Fairfield,26850,18821,4660,
Fayette,4831,3665,1047,
Franklin,178412,192795,25400,
Fulton,8703,6662,2412,
Gallia,5135,5386,1839,
Geauga,19662,14143,4848,
Greene,30677,25082,5246,
Guernsey,5970,6731,2251,
Hamilton,186493,160458,21335,
Hancock,17252,9334,2904,
Hardin,5506,4930,1365,
Harrison,2310,3721,1302,
Henry,6385,4762,1550,
Highland,7102,5837,1629,
Hocking,4017,4646,1564,
Holmes,5213,2531,1276,
Huron,8750,8858,3338,
Jackson,4922,5538,1529,
Jefferson,10212,19402,4748,
Knox,10159,7562,2138,
Lake,40974,43186,12507,
Lawrence,8832,11595,3232,
Licking,28276,22624,6516,
Logan,8325,6397,2264,
Lorain,34937,55744,14889,
Lucas,58120,104911,17282,
Madison,6871,5072,1386,
Mahoning,31397,72716,13213,
Marion,11112,10482,2897,
Medina,26120,23727,8700,
Meigs,3622,4275,1453,
Mercer,8832,6300,2361,
Miami,19509,15540,4599,
Monroe,1856,3914,1128,
Montgomery,95391,115469,18298,
Morgan,2566,2385,922,
Morrow,5655,4627,1745,
Muskingum,13861,13813,4880,
Noble,2183,2366,899,
Ottawa,6991,9321,2438,
Paulding,3760,3449,1292,
Perry,4606,5819,1854,
Pickaway,8666,7042,1702,
Pike,3759,5542,1402,
Portage,18939,29441,9178,
Preble,8139,6611,2235,
Putnam,9294,4972,1767,
Richland,23697,20832,6613,
Ross,10286,12649,2648,
Sandusky,10033,11547,3617,
Scioto,11679,15041,4418,
Seneca,9713,10044,3498,
Shelby,8773,6729,2686,
Stark,60212,73437,23004,
Summit,73555,112050,27723,
Trumbull,24811,55604,13563,
Tuscarawas,13388,15244,5682,
Union,8290,4989,1596,
Van Wert,6999,4453,1487,
Vinton,1673,2350,728,
Warren,33210,17089,4689,
Washington,11965,10945,2832,
Wayne,19628,14850,5771,
Williams,7747,5524,2121,
Wood,20518,23183,5065,
Wyandot,4473,3677,1347,
