2012 US Presidential Election,Romney,Obama,Other,
Anderson,12262,3813,137,
Andrews,3639,795,48,
Angelina,20303,7834,269,
Aransas,6830,2704,114,
Archer,3600,525,39,
Armstrong,828,98,9,
Atascosa,7461,5133,127,
Austin,9265,2252,132,
Bailey,1339,466,11,
Bandera,7426,1864,158,
Bastrop,14033,9864,584,
Baylor,1297,267,28,
Bee,4356,3452,71,
Bell,49574,35512,1120,
Bexar,241617,264856,7208,
Blanco,3638,1220,115,
Borden,324,32,7,
Bosque,5885,1367,104,
Bowie,24869,10196,339,
Brazoria,70862,34421,1456,
Brazos,37209,17477,1276,
Brewster,1976,1765,126,
Briscoe,578,117,7,
Brooks,507,1886,10,
Brown,11895,1904,148,
Burleson,4671,1705,80,
Burnet,12843,3674,279,
Caldwell,6021,4791,256,
Calhoun,4144,2410,94,
Callahan,4378,751,68,
Cameron,26099,49975,821,
Camp,2881,1428,26,
Carson,2451,292,35,
Cass,8763,2924,101,
Castro,1470,630,19,
Chambers,11787,2790,158,
Cherokee,12094,3875,157,
Childress,1665,320,11,
Clay,4266,740,51,
Cochran,649,256,12,
Coke,1218,179,11,
Coleman,3012,442,38,
Collin,196888,101415,5264,
Collingsworth,962,177,11,
Colorado,6026,2029,62,
Comal,39318,11450,761,
Comanche,3944,890,72,
Concho,793,194,14,
Cooke,11951,2246,154,
Coryell,11220,5158,226,
Cottle,555,180,6,
Crane,985,275,23,
Crockett,957,480,20,
Crosby,1132,639,16,
Culberson,295,568,16,
Dallam,1248,253,33,
Dallas,295813,405571,10228,
Dawson,2591,1019,32,
Deaf Smith,3042,1239,28,
Delta,1524,454,40,
Denton,157579,80978,4224,
DeWitt,5122,1467,49,
Dickens,793,216,10,
Dimmit,762,2141,14,
Donley,1287,226,22,
Duval,980,3331,33,
Eastland,5444,970,81,
Ector,24010,8118,385,
Edwards,642,232,10,
Ellis,39574,13881,696,
El Paso,57150,112952,2310,
Erath,10329,1965,179,
Falls,3356,2033,45,
Fannin,8161,2486,157,
Fayette,8106,2315,130,
Fisher,1094,512,23,
Floyd,1523,551,11,
Foard,348,140,7,
Fort Bend,116126,101144,2219,
Franklin,3446,751,60,
Freestone,5646,1850,74,
Frio,1559,2376,33,
Gaines,3484,535,47,
Galveston,69059,39511,1508,
Garza,1263,279,18,
Gillespie,10306,2055,189,
Glasscock,526,44,8,
Goliad,2294,1127,37,
Gonzales,4216,1777,64,
Gray,6443,886,60,
Grayson,30936,10670,658,
Gregg,28742,12398,367,
Grimes,6141,2339,121,
Guadalupe,33117,15744,653,
Hale,6490,2243,121,
Hall,832,265,12,
Hamilton,2918,591,43,
Hansford,1788,159,15,
Hardeman,1176,302,17,
Hardin,17746,3359,192,
Harris,586073,587044,15468,
Harrison,17512,8456,202,
Hartley,1708,184,21,
Haskell,1424,553,36,
Hays,31661,25537,1813,
Hemphill,1298,192,19,
Henderson,21231,6106,290,
Hidalgo,39865,97969,1325,
Hill,9132,2752,161,
Hockley,5546,1486,102,
Hood,18409,3843,283,
Hopkins,9836,2777,140,
Houston,5880,2265,69,
Howard,6453,2110,132,
Hudspeth,471,379,13,
Hunt,21011,6671,367,
Hutchinson,6804,1045,79,
Irion,668,112,8,
Jack,2580,303,25,
Jackson,3906,1070,49,
Jasper,9957,3423,137,
Jeff Davis,719,440,33,
