1992 US Presidential Election,Bush,Clinton,Perot,
Aitkin,2151,3400,1951,
Anoka,39458,54621,35140,
Becker,5430,4958,3238,
Beltrami,5204,7210,3473,
Benton,5053,5156,4048,
Big Stone,1052,1610,740,
Blue Earth,8813,11531,7299,
Brown,5390,4278,3845,
Carlton,3922,7736,3005,
Carver,10201,8349,7942,
Cass,4276,4901,2939,
Chippewa,2143,2929,1505,
Chisago,4813,7077,5098,
Clay,9666,9845,3835,
Clearwater,1315,1587,841,
Cook,878,1005,704,
Cottonwood,2481,2382,1749,
Crow Wing,9112,8896,6367,
Dakota,52312,63660,40244,
Dodge,3049,2620,2231,
Douglas,6356,5252,4138,
Faribault,3439,3339,2322,
Fillmore,3583,3977,3011,
Freeborn,5089,7759,4878,
Goodhue,7321,7916,5790,
Grant,1201,1561,885,
Hennepin,179581,278648,123659,
Houston,3853,3744,2697,
Hubbard,3227,3362,1949,
Isanti,3988,5386,3898,
Itasca,5952,9621,5147,
Jackson,1824,2481,1918,
Kanabec,1876,2532,1836,
Kandiyohi,6784,7914,4869,
Kittson,1098,1307,558,
Koochiching,1954,3474,1993,
Lac Qui Parle,1435,2342,1163,
Lake,1465,3415,1437,
Lake of the Woods,762,794,629,
Le Sueur,3858,4662,3363,
Lincoln,1084,1555,967,
Lyon,4591,4481,3180,
McLeod,5422,4919,4933,
Mahnomen,854,1035,483,
Marshall,2136,2309,1306,
Martin,4438,4019,3089,
Meeker,3497,3861,3120,
Mille Lacs,2814,3648,2615,
Morrison,5038,5588,3710,
Mower,5147,9935,5001,
Murray,1609,1993,1588,
Nicollet,5091,6055,3799,
Nobles,3548,3756,2586,
Norman,1541,1784,776,
Olmsted,23404,19039,13806,
Otter Tail,11074,9176,6274,
Pennington,2155,2578,1598,
Pine,2841,4929,2952,
Pipestone,1953,1773,1429,
Polk,5817,5850,3176,
Pope,1886,2619,1390,
Ramsey,68206,130932,50757,
Red Lake,691,1020,472,
Redwood,3408,2740,2710,
Renville,2852,3414,2598,
Rice,7015,10908,6057,
Rock,2065,2006,1244,
Roseau,2785,2346,2099,
St. Louis,24579,61813,21714,
Scott,10936,11225,9881,
Sherburne,7339,7843,6534,
Sibley,2315,2421,2407,
Stearns,22502,21451,14834,
Steele,5964,5152,4542,
Stevens,2229,2466,1086,
Swift,1603,2980,1359,
Todd,3990,4059,2976,
Traverse,841,1053,582,
Wabasha,3397,3736,3012,
Wadena,2492,2340,1535,
Waseca,3118,3146,2621,
Washington,26568,35820,22585,
Watonwan,1871,2100,1574,
Wilkin,1626,1122,748,
Winona,8585,9707,5993,
Wright,11650,12465,10829,
Yellow Medicine,1909,2593,1645,
