2000 US Presidential Election,Bush,Gore,Nader,
Alachua,34135,47380,3228,
Baker,5611,2392,53,
Bay,38682,18873,830,
Bradford,5416,3075,84,
Brevard,115253,97341,4471,
Broward,177939,387760,7105,
Calhoun,2873,2156,39,
Charlotte,35428,29646,1462,
Citrus,29801,25531,1383,
Clay,41903,14668,565,
Collier,60467,29939,1405,
Columbia,10968,7049,258,
Desoto,4256,3321,157,
Dixie,2697,1827,75,
Duval,152460,108039,2762,
Escambia,73171,40990,1733,
Flagler,12618,13897,435,
Franklin,2454,2047,85,
Gadsden,4770,9736,139,
Gilchrist,3300,1910,97,
Glades,1841,1442,56,
Gulf,3553,2398,86,
Hamilton,2147,1723,37,
Hardee,3765,2342,75,
Hendry,4747,3240,104,
Hernando,30658,32648,1501,
Highlands,20207,14169,545,
Hillsborough,180794,169576,7496,
Holmes,5012,2177,94,
Indian River,28639,19769,950,
Jackson,9139,6870,138,
Jefferson,2478,3041,76,
Lafayette,1670,789,26,
Lake,50010,36571,1460,
Lee,106151,73571,3588,
Leon,39073,61444,1934,
Levy,6863,5398,285,
Liberty,1317,1017,19,
Madison,3038,3015,54,
Manatee,58023,49226,2494,
Marion,55146,44674,1810,
Martin,33972,26621,1118,
Miami-Dade,289574,328867,5355,
Monroe,16063,16487,1090,
Nassau,16408,6955,253,
Okaloosa,52186,16989,988,
Okeechobee,5057,4589,131,
Orange,134531,140236,3879,
Osceola,26237,28187,733,
Palm Beach,152964,269754,5566,
Pasco,68607,69576,3394,
Pinellas,184849,200657,10023,
Polk,90310,75207,2059,
Putnam,13457,12107,379,
St. Johns,39564,19509,1217,
St. Lucie,34705,41560,1368,
Santa Rosa,36339,12818,726,
Sarasota,83117,72869,4071,
Seminole,75790,59227,1949,
Sumter,12127,9637,306,
Suwannee,8009,4076,180,
Taylor,4058,2649,59,
Union,2332,1407,33,
Volusia,82368,97313,2910,
Wakulla,4512,3838,149,
Walton,12186,5643,265,
Washington,4995,2798,93,
