1972 US Presidential Election,Nixon,McGovern,Other,
Adams,2200,1833,104,
Ashland,3478,3771,162,
Barron,8418,5376,251,
Bayfield,3045,2736,84,
Brown,37101,26511,2063,
Buffalo,3079,2461,120,
Burnett,2972,2389,105,
Calumet,6446,4804,292,
Chippewa,8451,8210,462,
Clark,7138,4617,886,
Columbia,10122,7083,242,
Crawford,3705,2487,123,
Dane,56020,79567,1439,
Dodge,17068,9898,771,
Door,6503,3430,188,
Douglas,8419,11054,298,
Dunn,6660,5681,215,
Eau Claire,15883,14300,760,
Florence,971,757,68,
Fond du Lac,21007,12050,1386,
Forest,1856,1678,195,
Grant,11873,6915,273,
Green,7422,3634,166,
Green Lake,5046,2174,237,
Iowa,4387,3131,108,
Iron,1723,1648,80,
Jackson,3937,2445,94,
Jefferson,14621,9303,663,
Juneau,4833,2943,254,
Kenosha,24041,19441,1094,
Kewaunee,4802,3360,241,
La Crosse,21992,12152,602,
Lafayette,4898,2804,84,
Langlade,4368,3011,250,
Lincoln,6206,4175,459,
Manitowoc,16599,16489,1132,
Marathon,21454,18500,1885,
Marinette,8740,5900,598,
Marquette,2682,1537,65,
Menominee,355,608,13,
Milwaukee,191874,210802,14001,
Monroe,7625,3640,171,
Oconto,6511,4041,413,
Oneida,6811,4262,504,
Outagamie,27533,17447,1028,
Ozaukee,15759,8503,1204,
Pepin,1458,1409,93,
Pierce,5899,5611,206,
Polk,6567,5738,228,
Portage,9346,13564,431,
Price,3694,2831,267,
Racine,38490,27778,1968,
Richland,5062,2492,100,
Rock,30361,21033,925,
Rusk,3007,3075,197,
St. Croix,8553,7488,250,
Sauk,10285,6980,228,
Sawyer,3081,1765,82,
Shawano,8807,3940,395,
Sheboygan,21500,21114,905,
Taylor,4125,2934,324,
Trempealeau,5723,4232,140,
Vernon,6836,3407,142,
Vilas,4422,1907,379,
Walworth,17823,8598,546,
Washburn,3220,2336,109,
Washington,15338,10434,1229,
Waukesha,59399,34573,3650,
Waupaca,11040,4418,284,
Waushara,4466,2094,179,
Winnebago,29488,20450,1544,
Wood,14806,10415,1759,
