1992 US Presidential Election,Bush,Clinton,Perot,
Albany,49452,80641,24064,
Allegany,8976,4848,4703,
Bronx,63310,225038,15115,
Broome,34653,43444,21280,
Cattaraugus,13944,10150,10662,
Cayuga,12065,13088,10279,
Chautauqua,21222,22645,18455,
Chemung,16088,15099,7493,
Chenango,8114,8017,5356,
Clinton,13455,12881,5389,
Columbia,11568,11368,5829,
Cortland,7782,7815,5098,
Delaware,8829,7152,4404,
Dutchess,46709,41655,26320,
Erie,129444,196233,123358,
Essex,8278,6717,3784,
Franklin,6635,7654,3857,
Fulton,9137,8400,5120,
Genesee,11663,8071,6192,
Greene,9390,6924,4689,
Hamilton,2038,963,793,
Herkimer,12052,10880,6866,
Jefferson,14227,13380,9461,
Kings,133344,411183,33014,
Lewis,4101,3676,3164,
Livingston,12122,8648,5775,
Madison,11293,10099,7391,
Monroe,134021,141502,63229,
Montgomery,8802,9509,5020,
Nassau,246881,282593,77097,
New York,84501,416142,27689,
Niagara,30401,35649,30126,
Oneida,43806,40966,22717,
Onondaga,77642,90645,45175,
Ontario,18995,16064,9571,
Orange,53493,45946,22499,
Orleans,7468,4927,4275,
Oswego,18530,16990,14853,
Otsego,10141,10471,5841,
Putnam,18934,14048,8011,
Queens,157561,349520,46014,
Rensselaer,28937,29793,15198,
Richmond,70707,56901,19678,
Rockland,49608,56759,15026,
St. Lawrence,13901,18197,9758,
Saratoga,36917,33011,19091,
Schenectady,26258,32335,14838,
Schoharie,5678,4997,3327,
Schuyler,3226,2859,2051,
Seneca,5432,5810,3660,
Steuben,19761,12043,9378,
Suffolk,229467,220811,112973,
Sullivan,11396,13717,6336,
Tioga,9287,7791,5867,
Tompkins,11520,23197,6704,
Ulster,29223,32886,17952,
Warren,12260,9820,6401,
Washington,10305,8429,6143,
Wayne,18019,11866,9188,
Westchester,151990,184300,39933,
Wyoming,7324,4045,4837,
Yates,4366,3242,2354,
