2012 US Presidential Election,Romney,Obama,Other,
Adams,26767,15091,767,
Allegheny,262039,352687,9101,
Armstrong,20142,9045,534,
Beaver,42344,37055,1394,
Bedford,16702,4788,207,
Berks,84702,83011,2963,
Blair,33319,16276,770,
Bradford,14410,8624,506,
Bucks,156579,160521,3916,
Butler,59761,28550,1388,
Cambria,35163,24249,1114,
Cameron,1359,724,28,
Carbon,13504,11580,610,
Centre,34001,34176,1709,
Chester,124840,124311,3425,
Clarion,10828,5056,385,
Clearfield,20347,11121,654,
Clinton,7303,5734,274,
Columbia,14236,10937,566,
Crawford,20901,13883,791,
Cumberland,64809,44367,2015,
Dauphin,57450,64965,1886,
Delaware,110853,171792,2919,
Elk,7579,5463,237,
Erie,49025,68036,2053,
Fayette,26018,21971,660,
Forest,1383,896,45,
Franklin,43260,18995,1065,
Fulton,4814,1310,97,
Greene,8428,5852,184,
Huntingdon,11979,5409,304,
Indiana,21257,14473,714,
Jefferson,13048,4787,341,
Juniata,6862,2547,186,
Lackawanna,35085,61838,1428,
Lancaster,130669,88481,4201,
Lawrence,21047,17513,629,
Lebanon,35872,19900,1005,
Lehigh,66874,78283,2067,
Luzerne,58325,64307,2213,
Lycoming,30658,15203,808,
McKean,9545,5297,312,
Mercer,25925,24232,882,
Mifflin,11939,4273,204,
Monroe,26867,35221,935,
Montgomery,174381,233356,5132,
Montour,4652,3053,154,
Northampton,61446,67606,1992,
Northumberland,19518,13072,766,
Perry,13120,5685,323,
Philadelphia,96467,588806,5503,
Pike,12786,10210,283,
Potter,5231,1897,114,
Schuylkill,32278,24546,1224,
Snyder,10073,4687,308,
Somerset,23984,9436,522,
Sullivan,1868,1034,47,
Susquehanna,10800,6935,381,
Tioga,11342,5357,395,
Union,9896,6109,331,
Venango,13815,7945,497,
Warren,10010,6995,294,
Washington,53230,40345,1403,
Wayne,12896,8396,315,
Westmoreland,103932,63722,1918,
Wyoming,6587,5061,273,
York,113304,73191,3482,
