2008 US Presidential Election,McCain,Obama,Other,
Alameda,119555,489106,14252,
Alpine,252,422,20,
Amador,10561,7813,505,
Butte,46706,49013,2988,
Calaveras,12835,9813,773,
Colusa,3733,2569,146,
Contra Costa,136436,306983,9825,
Del Norte,4967,4323,241,
El Dorado,50314,40529,2466,
Fresno,131015,136706,5731,
Glenn,5910,3734,235,
Humboldt,21713,39692,2563,
Imperial,14008,24162,650,
Inyo,4523,3743,288,
Kern,134793,93457,5558,
Kings,19710,14747,651,
Lake,9935,14854,840,
Lassen,7483,3586,364,
Los Angeles,956425,2295853,65970,
Madera,23583,17952,939,
Marin,28384,109320,2866,
Mariposa,5298,4100,279,
Mendocino,10721,27843,1620,
Merced,28704,34031,1316,
Modoc,2981,1313,126,
Mono,2354,3093,124,
Monterey,38797,88453,2533,
Napa,19484,38849,1309,
Nevada,25663,28617,1367,
Orange,579064,549558,25065,
Placer,94647,75112,4053,
Plumas,6035,4715,278,
Riverside,310041,325017,12241,
Sacramento,213583,316506,12770,
San Benito,7425,11917,446,
San Bernardino,277408,315720,13206,
San Diego,541032,666581,27890,
San Francisco,52292,322220,9284,
San Joaquin,91607,113974,4727,
San Luis Obispo,61055,68176,3924,
San Mateo,75057,222826,5409,
Santa Barbara,65585,105614,4208,
Santa Clara,190039,462241,13309,
Santa Cruz,25244,98745,3747,
Shasta,49588,28867,1935,
Sierra,1158,743,90,
Siskiyou,11520,9292,752,
Solano,56035,102095,3458,
Sonoma,55127,168888,5336,
Stanislaus,77497,80279,3736,
Sutter,18911,13412,698,
Tehama,14843,8945,772,
Trinity,2940,3233,257,
Tulare,59765,43634,2126,
Tuolumne,14988,11532,783,
Ventura,145853,187601,7587,
Yolo,24592,53488,1669,
Yuba,12007,8866,528,
