1976 US Presidential Election,Ford,Carter,Other,
Alachua,15546,27895,1137,
Baker,1058,2985,152,
Bay,14208,14858,418,
Bradford,1680,3868,69,
Brevard,44470,46421,1473,
Broward,161411,176491,4441,
Calhoun,1153,2487,49,
Charlotte,12703,10300,330,
Citrus,7973,9438,296,
Clay,8468,8410,270,
Collier,14643,8764,303,
Columbia,3947,6683,136,
Desoto,2000,2715,107,
Dixie,558,2169,25,
Duval,74997,105912,1652,
Escambia,41471,38279,965,
Flagler,1262,2086,25,
Franklin,1054,1859,60,
Gadsden,3531,6798,102,
Gilchrist,528,1807,19,
Glades,624,1311,30,
Gulf,1584,2641,56,
Hamilton,794,2053,104,
Hardee,2189,2670,248,
Hendry,1843,2337,74,
Hernando,5793,7717,222,
Highlands,8317,7218,198,
Hillsborough,78504,94589,2052,
Holmes,1850,3256,74,
Indian River,9818,8512,324,
Jackson,4795,7687,170,
Jefferson,1361,2310,78,
Lafayette,523,1126,16,
Lake,19976,14369,442,
Lee,38038,30567,1184,
Leon,23739,28729,975,
Levy,1965,4025,176,
Liberty,620,1137,19,
Madison,1761,3218,61,
Manatee,29300,24342,718,
Marion,16163,16963,553,
Martin,11682,8785,289,
Dade,211148,303047,7747,
Monroe,8232,11079,446,
Nassau,3136,5896,108,
Okaloosa,18598,14210,487,
Okeechobee,1598,3184,43,
Orange,70451,58442,1544,
Osceola,7062,6893,220,
Palm Beach,98236,96705,3716,
Pasco,28306,33710,731,
Pinellas,150003,141879,3687,
Polk,44238,47286,1182,
Putnam,5040,9597,172,
St. Johns,6660,7412,299,
St. Lucie,11502,12386,321,
Santa Rosa,9122,8020,270,
Sarasota,44157,26293,1028,
Seminole,26655,19609,549,
Sumter,2212,4721,157,
Suwannee,2405,4718,279,
Taylor,1983,3370,53,
Union,544,1480,16,
Volusia,37523,49161,1541,
Wakulla,1580,2353,139,
Walton,2927,5196,156,
Washington,2313,3566,117,
