1996 US Presidential Election,Dole,Clinton,Perot,
Adams,2356,1740,448,
Asotin,2860,3349,936,
Benton,26664,20783,5311,
Chelan,12363,8595,2332,
Clallam,12432,12585,3187,
Clark,46794,52254,9663,
Columbia,948,743,228,
Cowlitz,11221,18054,3441,
Douglas,5682,3913,1132,
Ferry,1091,1197,408,
Franklin,5946,4961,992,
Garfield,623,497,117,
Grant,10895,8065,2496,
Grays Harbor,7635,14082,3757,
Island,12387,12157,2787,
Jefferson,4607,7145,1385,
King,232811,417846,51309,
Kitsap,35304,44167,8769,
Kittitas,5224,5707,1214,
Klickitat,2662,3214,875,
Lewis,13238,10331,3373,
Lincoln,2587,1806,518,
Mason,7149,10088,2816,
Okanogan,5890,4810,1797,
Pacific,2598,5095,1131,
Pend Oreille,2012,2126,709,
Pierce,89295,120893,22051,
San Juan,2523,3663,508,
Skagit,16397,18295,4818,
Skamania,1387,1724,450,
Snohomish,81885,109624,22731,
Spokane,66628,71727,16532,
Stevens,7524,5591,2158,
Thurston,29835,45522,7622,
Wahkiakum,619,924,215,
Walla Walla,9085,8038,1894,
Whatcom,27153,29074,4854,
Whitman,6734,7262,1315,
Yakima,27668,25676,4724,
