2004 US Presidential Election,Bush,Kerry,Other,
Alachua,47762,62504,1062,
Baker,7738,2180,37,
Bay,53404,21068,552,
Bradford,7557,3244,54,
Brevard,153068,110309,2085,
Broward,244674,453873,8325,
Calhoun,3782,2116,65,
Charlotte,44428,34256,1102,
Citrus,39500,29277,690,
Clay,62078,18971,446,
Collier,83631,43892,1160,
Columbia,16758,8031,202,
DeSoto,5524,3913,73,
Dixie,4434,1960,48,
Duval,220190,158610,2261,
Escambia,93566,48329,1383,
Flagler,19633,18578,269,
Franklin,3472,2401,58,
Gadsden,6253,14629,102,
Gilchrist,4936,2017,62,
Glades,2443,1718,27,
Gulf,4805,2407,65,
Hamilton,2792,2260,27,
Hardee,5049,2149,51,
Hendry,5757,3960,58,
Hernando,42635,37187,725,
Highlands,25878,15347,271,
Hillsborough,245576,214132,3514,
Holmes,6412,1810,78,
Indian River,36938,23956,520,
Jackson,12122,7555,130,
Jefferson,3298,4135,45,
Lafayette,2460,845,20,
Lake,74389,48221,1340,
Lee,144176,93860,2631,
Leon,51615,83873,891,
Levy,10410,6074,168,
Liberty,1927,1070,24,
Madison,4191,4050,63,
Manatee,81318,61262,1041,
Marion,81283,57271,1123,
Martin,41362,30208,883,
Miami-Dade,361095,409732,3899,
Monroe,19467,19654,414,
Nassau,23783,8573,387,
Okaloosa,69693,19368,695,
Okeechobee,6978,5153,59,
Orange,192539,193354,2151,
Osceola,43117,38633,454,
Palm Beach,212688,328687,3247,
Pasco,103230,84749,2937,
Pinellas,225686,225460,4211,
Polk,123559,86009,1262,
Putnam,18311,12412,250,
St. Johns,59196,26399,695,
St. Lucie,47592,51835,636,
Santa Rosa,52059,14659,589,
Sarasota,104692,88442,2518,
Seminole,108172,76971,1052,
Sumter,19800,11584,458,
Suwannee,11153,4522,127,
Taylor,5467,3049,65,
Union,3396,1251,28,
Volusia,111924,115519,1496,
Wakulla,6777,4896,90,
Walton,17555,6213,208,
Washington,7369,2912,85,
