1992 US Presidential Election,Bush,Clinton,Perot,
Baker,2862,2395,2191,
Benton,11550,17966,8103,
Clackamas,53724,60310,39776,
Clatsop,4683,7700,4316,
Columbia,5227,8298,5670,
Coos,9284,12072,7989,
Crook,2703,2508,2024,
Curry,3809,3841,3310,
Deschutes,15655,15693,12293,
Douglas,19011,14137,12377,
Gilliam,377,374,283,
Grant,1496,1135,1302,
Harney,1350,973,1024,
Hood River,2453,3106,2235,
Jackson,28704,29146,18633,
Jefferson,1962,2161,1741,
Josephine,13003,11007,8426,
Klamath,11864,7918,6636,
Lake,1791,1019,980,
Lane,41789,74083,34906,
Lincoln,5716,9603,6127,
Linn,16461,15399,13256,
Malheur,5374,2539,2654,
Marion,42145,41137,26156,
Morrow,1187,1174,1089,
Multnomah,72326,165081,58236,
Polk,10082,9551,5818,
Sherman,424,362,326,
Tillamook,3359,5040,2997,
Umatilla,7095,6787,5581,
Union,4223,3990,3305,
Wallowa,1630,1203,1209,
Wasco,3242,4663,3008,
Washington,57146,67528,41575,
Wheeler,357,267,227,
Yamhill,11693,11148,8312,
